texts,labels
"The Securities and Exchange Commission has upgraded its investigation of Pro-Pharmaceuticals Inc. of Newton from an informal inquiry to a formal probe, according to the firm's most recent quarterly report to investors. The federal securities watchdog is looking at whether false or misleading statements were made about Pro-Pharmaceuticals, possibly by the company itself.",2
"Reuters - Authorities in northeast India urged Bangladesh on Monday not to kill about 100 wild elephants that have strayed across the border and gone on a rampage, killing 13 people and injuring dozens more.",0
"Reuters - The State Department said on Tuesday\it had information that ""terrorists may be planning to launch\new attacks"" in Uzbekistan around the time of Uzbek\Independence Day celebrations in early September.",0
"Lenovo will pay \$1.75 billion for IBM #39;s PC business unit but will continue to use the IBM brand for five years. By Paul McDougall, and Darrell Dunn.",2
"They waited for almost eight hours to finally start playing and then they rushed to finish with more sprinkles falling, but Carlos Moya wasn #39;t complaining in the end.",1
"The Sainsbury family backs Chief Executive Justin King #39;s strategy to turn around Britain #39;s third- biggest supermarket chain, Jessica Sainsbury said, and speculation of a takeover is silly.",2
"AP - Lisa Raymond overcame a loss in the first set and beat Nadia Petrova 3-6, 6-4, 6-4 Wednesday to advance to the quarterfinals of the Pilot Pen tournament.",1
"IN A long-awaited victory speech yesterday, Indonesia #39;s President-elect Susilo Bambang Yudhoyono vowed to get down to business immediately after taking office to revive the economy, end regional conflicts and stamp out corruption.",0
TORONTO (CP) - Canada #39;s big banks are increasing mortgage rates following a decision by the Bank of Canada to raise its overnight rate by one-quarter of a percentage point to 2.25 per cent.,2
"NEWRY, Northern Ireland -- From the windows of a 19th-century textile mill that long lay derelict, Feargal McCormack looked past the Catholic row houses that once seethed with poverty and anger to the road along the Newry canal, where car bombs went off and snipers lurked for 30 years of sectarian violence.",2
Rubens Barrichello wakes up this morning at his home in Sao Paulo this morning and savours the prospect of his first Brazilian Grand Prix victory.,1
"That Michael Siewert didn #39;t fit in at the recent launch party for Sony PS2 #39;s fall releases was telling. The bulky, plainly dressed video game critic from Edmonton had been squeezed to the back of the VIP area ",3
"NetBeans.org, which oversees the NetBeans open source Java tools environment, has released a beta version of the NetBeans 4.0 IDE, featuring support for the latest Java specifications and Apache Ant-based projects.",3
" TOKYO (Reuters) - The dollar edged down against the yen on  Monday, extending losses made after a decline in U.S. producer  prices led investors to question whether the Federal Reserve  would raise interest rates in September and beyond.",2
AFP - Internet networking giant Cisco Systems agreed to acquire closely held Internet protocol service provider P-Cube for 200 million dollars in cash and options.,3
"Prime Minister Junichiro Koizumi reshuffled his cabinet on Monday, replacing several top ministers in an effort to boost his popularity, consolidate political support and quicken the pace of reforms in the world's second-largest economy.",0
"Big East commissioner Mike Tranghese is pushing a plan to change the way teams are selected for the Bowl Championship Series and make the process, which has been marked by controversy since its inception in 1998, more in line with the way the NCAA picks teams for its basketball tournament.",1
"In its most positive assessment of Iran in two years, the International Atomic Energy Agency reported yesterday that it had found no evidence the nation had a nuclear weapons program and that ",0
Links to this week's topics from search engine forums across the web: SEO for an eBay store? - Who Benefits Most from 3 AdSense Ads Per Page - What SEO Guarantees Do You Offer? - Keywords In Quotes Vs. Keywords In Italics - Yahoo Local Match   Yellow Pages ,3
"Philippine floods and landslides killed 32 people and left more than 100 towns under water or buried, Agence France-Presse reported, citing civil defense officials.",0
"Barbara Stymiest, head of the Toronto Stock Exchange for the last five years, is leaving to become chief operating officer of the Royal Bank of Canada as part of a major executive and organizational shake-up.",2
"Virgin Digital has announced their own  quot;iPod mini killer, quot; the weirdly-named  quot;Virgin Electronics Player 5GB quot; which features 5GB of storage (which Virgin bills as capable of holding over 1200 songs), a built in FM tuner, weight of 3.1 ounces, and dual ",3
"Before the Portuguese Grand Prix, Sito Pons had restated his position that it could well be a mistake that decides the destination of the 2004 world championship.",1
"Q: I hear weird sounds coming from my computer - for instance, a door opening and closing. Is this normal? I use America Online. A: These sounds are coming from your AOL Buddy List, letting you know when a buddy has logged in or logged off.",3
" MALELANE, South Africa (Reuters) - A faultless 67 left  South Africa's Ernie Els one shot off the pace after the first  round of the Dunhill Championship at the Leopard Creek Country  Club on Thursday.",1
"Yahoo #39;s email service has begun to use the company #39;s DomainKeys authentication technology, almost a year after Yahoo first unveiled this antispam project.",3
"A bomb planted by the Muslim militant group Abu Sayyaf led to the sinking of a Philippine ferry and the death of more than 100 people in February, the government said on Monday.",0
"The former chief operating officer of a San Carlos software company has been indicted on charges of securities fraud for an alleged scheme to inflate the company #39;s revenue, authorities said Wednesday.",2
" BAGHDAD (Reuters) - Iraq's U.S.-backed government said on  Tuesday that ""major neglect"" by its American-led allies led to  a massacre of 49 army recruits at the weekend.",0
"Brett Favre #39;s legend is already lengthy, to say the least. Sunday he contributed another page. Favre went down and stayed down for a few tense moments during the Packers #39; opening drive in the second half.",1
"Ten San Francisco hotels locked out union workers on Friday in response to a strike at four others hotels that are part of the same bargaining unit, raising the stakes in a confrontation that could spread to other cities around the ",2
"NewsFactor - Microsoft (Nasdaq: MSFT) has become a minority investor in Vintela, a Utah-based maker of software that allows the Windows operating system to communicate with other software types, such as Unix, Linux or Mac OS.",3
AFP - The European Union called on China at a summit to rein in its textile exports after international quotas are scrapped next year.,0
" ATHENS (Reuters) - The U.S. swimming team was slow off the  blocks but is heading for home at full speed propelled by  Tuesday's dramatic relay victory, U.S. women's head coach Mark  Schubert said on Wednesday.",1
"Starting lineups The Sox hit 32 home runs against the Yankees, their most against any opponent. Manny Ramirez hit seven; Johnny Damon, Kevin Millar, and Bill Mueller hit five apiece. The Sox hit three or more home runs six times in games against the Bombers. They hit .322 against New York in Fenway Park but just .212 in Yankee Stadium. ...",1
"Reuters - Lisa Simpson,\the spiky-haired U.S. cartoon character, may just be the spark\that revives an ancient language and fuels a tiny political\movement at the tip of Britain's southwest coast.",0
"AP - Bracing for their final debate, John Kerry accused President Bush of favoring ""friends in the oil industry"" over consumers strapped with rising fuel bills on Monday while Bush said his challenger so misunderstood the war on terror that he thought it could be reduced to ""a nuisance"" akin to prostitution or illegal gambling.",0
It has never bothered me that I have been the only person I know who loves my eMachines computers. The computers are inexpensive and they are more than adequate for my word processing ,2
The courtship of Boston College football coach Tom O'Brien moved east yesterday when University of Washington athletic director Todd Turner and president Mark Emmert flew east and met with O'Brien.,1
An analysis of the 5.7 million lines of Linux source code shows that it contains fewer bugs per thousand lines of code than commercial counterparts. By Michelle Delio.,3
Lawyers for Pfc. Lynndie R. England sought Wednesday to throw out evidence at the heart of the Abu Ghraib prison scandal -- the now-infamous photos showing her smiling and pointing at naked Iraqi detainees.,0
"Jake Stephens, a senior in my AP English class at TC Williams High School in Alexandria, Va., is hooked.  quot;The narrative is so exciting you lose all track of time, quot; he said to me last week.",3
"This week #39;s schedule may not be loaded with marquee matchups, but there are plenty of games Saturday with huge BCS implications.",1
"TORONTO Nortel Networks, the Canadian telecommunications equipment maker, said Thursday that it was delaying yet again the release of much-anticipated financial reports but that it expected to have them ready early in the new year.",2
"Growth in manufacturing slowed from the euro zone to Japan in October as strong oil prices and a stuttering global economy took their toll, although British companies performed better, survey data showed.",2
"Vodafone has launched its UK third-generation (3G) services for mobile phones, offering video calls, music downloads and games. The 3G technology enables users to download data at a faster rate than before ",3
"Under WTO rules, candidates for the organization #39;s top job must formally submit their bids before January, with the 148-nation WTO expected to select Supachai Panitchpakdi #39;s replacement by the end of June.",2
"WASHINGTON - The United Nations special envoy to Iraq met with US Deputy Secretary of Defense Richard Armitage Friday to discuss Iraqs January elections, the State Department said.",0
"Arsenal extended its record league unbeaten streak to 44 games with a 4-1 victory Saturday at Norwich, and 18-year-old American defender Jonathan Spector made his Premier ",1
Sun Microsystems has entered into a formal agreement with the Eastman Kodak Company to settle all claims in pending litigation regarding a software architecture based on the Java computer language.,3
"By SARA LEITCH     BRUNSWICK, Maine (AP) -- Astronauts spend years training before they can lift off into space. They learn to operate shuttles, perform experiments in zero-gravity, and eat bugs if they must...",3
"As a Washington journalist during the 90s, I made frequent treks to the Federal Election Commission to inspect cabinets full of campaign-finance reports to find out who was giving to whom.",3
" AMMAN (Reuters) - A French jet left Amman on Friday taking  ailing Palestinian leader Yasser Arafat for treatment in Paris,  witnesses said.",0
"BRUSSELS (AFP) - Incoming EU executive head Jose Manuel Barroso said he hopes for  quot;clear quot; approval when EU lawmakers finally vote on his new team later this month, to end an unprecedented state of limbo in Brussels.",0
"The Football Association is to look into comments Chelsea goalkeeper Petr Cech is alleged to have made about Graham Poll, and his decision to allow Arsenal #39;s controversial second goal at the weekend.",1
"Investors in pharmaceuticals were dealt a triple whammy on Friday as Pfizer Inc, AstraZeneca Plc and Eli Lilly and Co all shocked the market with bad news about key products.",2
"Symbol Technologies, Inc. has introduced the first in a new family of what they call durable enterprise digital assistant (EDA) products specifically designed for business essential applications within the enterprise environment.",3
"Holiday shoppers, intent on finding bargains, descended on the Washington region's malls this morning, joining a nationwide shopping spree that has come to be known as Black Friday.",2
"While Google Inc. #39;s auction-based initial public offering may not spur a wave of copycats, venture capitalists are sorting through the IPO to see what can be learned for future deals.",2
"Google, the world #39;s most popular search engine plans to transform the trip to the library into a trip to the nearest computer.",3
"AFP - The head of a separatist movement in Nigeria's southern oil-rich Niger Delta, Mujahid Dokubo Asari, announced on Tuesday evening that he would meet President Olusegun Obasanjo in Abuja on Wednesday.",0
PARIS (AFP) - Seven-time world champion Michael Schumacher found himself overshadowed as young Finn Heikki Kovalainen beat him on his way to winning the Race of Champions at the Stade de France.,1
"AccountingWEB.com - October 06, 2004 - The opening of a trial related to Oracle #39;s takeover bid of PeopleSoft featured the revelation that CEO Craig Conway was fired last week for making misleading statements about PeopleSoft #39;s sales.",2
"Mittal Steel, the new company to be formed by a merger of British billionaire Lakshmi Mittal #39;s considerable steel holdings with the International Steel Group, will ship about 57 million tons ",2
"Three Gulf countries -- the United Arab Emirates (UAE), Kuwait and Saudi Arabia -- promised Sunday to increase their oil output capacity to help stabilize world prices, the official WAM news agency reported.",2
Only the nave or willfully ignorant seem not to understand that drug use has been widespread for many years in elite sport.,1
Description: Legislators from Massachusetts accuse top executives at Bank of America of breaking their word and improperly laying off hundreds of employees in the state and surrounding region.,2
Number of users with high-speed connections has tripled in the last three years.,3
The company behind the internet song-swapping service Kazaa today claimed it was merely the musical equivalent of a video recorder as it began its defence in a landmark court case in Australia.,3
Bank of America Corp. said yesterday it will bring 300 more jobs to Boston as part of its wealth management unit.,2
"Ketchup maker HJ Heinz Co. (HNZ.N: Quote, Profile, Research) on Tuesday said quarterly profit rose 7.8 percent, excluding a year-earlier tax benefit, as demand for new products ",2
"CLIPPERS 102, PACERS 68---At Indianapolis, Pacers F Ron Artest said yesterday that he asked coach Rick Carlisle for time off because of a busy schedule that included promoting a soon-to ",1
" TAIPEI (Reuters) - Taiwan is considering applying to join  the United Nations under the island's own name, a move that  China would see as a provocative declaration of independence by  a renegade province.",0
DENVER - A federal judge in Colorado has rejected a request from the woman accusing NBA star Kobe Bryant of rape to remain anonymous in her civil lawsuit.,1
"short for  quot;Weblog quot; -- was the most-frequently requested definition at Merriam-Webster #39;s online dictionary site, the publisher says.",3
"Dambulla, Sri Lanka - South Africa captain Graeme Smith won the toss and decided to bat in the third one-dayer against Sri Lanka here on Wednesday.",1
InfoWorld - Microsoft is bolstering BI and reporting features in both the existing SQL Server 2000 database and the planned SQL Server 2005 release.,3
"President Vladimir V. Putin, meeting with Russia #39;s defense officials and military commanders here, said today that the country would soon deploy new nuclear missile ",0
"The Tigers lost both of their All-Stars, shortstop Carlos Guillen and catcher Ivan Rodriguez, to knee injuries on separate plays in Saturday #39;s game against the Twins.",1
"AP - The BCS is all but busted. Utah beat rival Brigham Young 52-21 Saturday, completing its first unbeaten season since 1930 and putting the Utes one step closer to the first appearance in the Bowl Championship Series for a team from a mid-major conference.",1
"Shares of wireless game maker Jamdat Mobile Inc. (JMDT.O: Quote, Profile, Research) rose as much as 45 percent on Wednesday in their first trading day, boosted by investors betting ",2
"According to JCN Network, NTT DoCoMo announced December 17 that it succeeded in achieving 1Gbps in downlink packet data transmission in a laboratory experiment using forth-generation (4G) mobile communication radio access equipment on August 20, 2004.",3
"Randy Johnson is practically ready to be measured for one tall set of pinstripes. Commissioner Bud Selig gave his blessing yesterday to a trade that will send Johnson to the Yankees, making a contract extension the last major obstacle could be resolved in the protracted Arizona-New York swap.",1
"When Andre Miller led the NBA with 10.9 assists a game in 2001-02, he had the first stamp of success required to enter the league #39;s pantheon of premier point guards.",1
" ATLANTA (Sports Network) - Isma'il Muhammad scored a  team-high 14 points, Jarrett Jack added 13 and third-ranked  Georgia Tech rolled over James Madison, 72-47, in a non-league  tilt at the Alexander Memorial Coliseum.",1
"ALKMAAR/AUXERRE, Dec 2 (SW) - AZ Alkmaar defeated Glasgow Rangers to advance to the third round of the UEFA Cup, while AJ Auxerre left group minnows Amica Wronki without a chance.",1
"AP - Two Turkish hostages were freed by Iraqi militants Sunday, a Turkish Foreign Ministry official said, less than a week after the men's employers said they were ending operations in Iraq to save the lives of their employees.",0
Wired  amp; Wireless continues its reign at the top spot among IT priorities due to widespread IP telephony and wireless deployment.,2
AMSTERDAM - US software giant Microsoft is aiming to get its audio and video software into mobile phones before it is beaten to the 650-million-handsets-a-year market by rivals like Apple.,3
"Maggie Wilderotter, leader of the software maker's government sales effort, is leaving to be CEO of a rural telecommunications company.",3
" PARIS (Reuters) - Basic producers helped European shares  turn positive on Friday, but telecoms firm Cable   Wireless  bucked the firmer trend after unveiling a hefty investment and  volatile oil prices kept investors cautious.",2
AMSTERDAM (AFX) - ASML Holding NV and Nikon Corp said they reached a tentative agreement on settlement terms for Nikon #39;s case of alleged patent infringement against ASML.,3
MADRID: Two bombs exploded in coastal towns in northern Spain yesterday injuring four people after a local paper received a warning in the name of the Basque separatist organisation ETA.,0
Anastasia Myskina reignited her hopes at the WTA Tour Championships on Friday with a straight-sets defeat of Lindsay Davenport. The Russian looked confident in beating the world number one 7-6 (7-5) 6-4 in Los Angeles.,1
"Microsoft Corp on Monday announced antitrust settlements with Novell Inc. and the Computer and Communications Industry Association (CCIA), ending years of legal wrangling.",3
"AP - Former No. 1 Kim Clijsters beat seventh-seeded Magdalena Maleeva 6-3, 6-4 Friday to reach the semifinals at the Gaz de France Stars, her first tournament after missing five months with a left wrist injury.",1
"Intel #39;s products for the digital home and digital office in 2005 will give consumers and IT managers more capabilities than just raw performance, and the company plans to highlight those products as it did with its Centrino mobile technology, Intel ",3
"Iraq is exporting oil normally from the south through its Persian Gulf terminals after a pipeline was breached yesterday, the UK military and two shipping agents said.",0
"JOHNNY KELLEY, who died yesterday at age 97, had a modest way of living that belied his extraordinary athletic feats. His participation in 61 Boston Marathons, despite the demands of a regular job and without ",1
The saddest thing about the American election of George Bush is that in the long run it will make the United States irrelevant in all matters save that we have the power to blow the ,0
\Pakistan Prime Minister Shaukat Aziz says his country stands for peace and dialogue ahead of a visit to India.,0
Investor's Business Daily - Could Russia's hypergrowth in cellular subscribers start slowing?,3
"HARRISONBURG, Va. -- Opposing running backs are beginning to enjoy playing against the University of Massachusetts.",1
" YOKOTA AIR BASE, Japan (Reuters) - Signs that North Korea  is preparing to test a ballistic missile are of great concern,  a U.S. commander said on Sunday, adding that the North could be  on the verge of big missile technology breakthroughs.",0
The tiny humans may have been hunted by large lizards -- bigger versions of the Komodo dragons that still roam the island and which have been known to eat people.,3
"PLANO, Tex. (CP) - Electronic Data Systems is cutting 4,600 jobs through early retirement and taking a \$150 million US charge in the fourth quarter, the information technology company said Tuesday.",2
"GUANTANAMO BAY NAVAL BASE, Cuba - The father of an imprisoned Australian cowboy accused of fighting with Afghanistan's ousted Taliban saw his son for the first time in five years Wednesday as he headed into an American military tribunal to face war crimes charges.    David Hicks, 29, wore a suit and tie as he arrived for a tribunal hearing on charges of conspiracy to commit war crimes, aiding the enemy and attempted murder for allegedly firing at U.S...",0
Time Warner Inc. (TWX) on Wednesday posted an 8 percent drop in quarterly net profit as it set up a \$500 million legal reserve related to accounting probes at its America ,2
AFP - An Islamic militant group published on a website the alleged pictures of twelve Nepalese citizens whom it said it had abducted for cooperating with US forces in Iraq.,0
"Oil prices climbed above \$47 a barrel, setting yet another record, after figures showed that supplies in the United States were down for a third consecutive week.",2
"Talks to find a solution to the Darfur crisis in Sudan are abruptly postponed, as the security situation worsens.",0
" ATHENS (Reuters) - Svetlana Khorkina was expected to soar  into the record books at the Athens Olympics, making a glorious  exit from the international stage as the reigning queen of the  asymmetric bars.",1
"Osama bin Laden #39;s aide, Ayman al-Zawahri, said Thursday in a videotape broadcast by al-Jazeera TV that mujahedeen (holy fighters) have taken control of much of Afghanistan and driven US forces into the  quot;trenches quot;.",0
"NEW YORK - Their voices breaking, parents and grandparents of those lost on Sept. 11 stood at the World Trade Center site Saturday and marked the third anniversary of the attacks by reciting the names of the 2,749 people who died there...",0
"BAGHDAD, Iraq - Gunmen kidnapped two Americans and a Briton from a house in the heart of the Iraqi capital Thursday, the Interior Ministry and witnesses said.    The three were seized from a two-story house surrounded by a wall in Baghdad's al-Mansour neighborhood at dawn, said Col...",0
 TOKYO (Reuters) - Japanese stocks edged lower by midday on  Monday with confidence in the domestic economic outlook failing  to offset profit-taking that hit recent gainers such as  insurers and telecom stocks including KDDI Corp.,2
Israeli Foreign Minister Sylvan Shalom said here Wednesday that he was confident French authorities are making every effort to fight against anti-Semitism.,0
"Rising temperatures in the Arctic will likely increase the region #39;s biodiversity as new species are drawn to the extreme north, but in a dramatic paradox many animals unique to the region, such as polar bears, risk extinction.",3
"Reuters - With hundreds of lawyers mobilizing next\month to monitor the presidential election, what are the\chances of a remake of the Florida 2000 fiasco? Probably quite\high, election watchers say.",0
" RAMALLAH, West Bank (Reuters) - Dead Palestinian leader  Yasser Arafat's body will be flown to Cairo for a ceremony  Friday and then to the West Bank city of Ramallah for burial  the same day, a former aide said Thursday.",0
"AP - San Juan's international airport was closed for more than an hour Thursday morning after bomb-sniffing dogs alerted police to a suspicious piece of luggage, authorities said.",0
"SEOUL - Two soldiers were killed and 12 others injured yesterday when an anti-tank rocket that was fired by mistake hit a group of troops in training, the army said.",0
"Serie A title hopefuls Juventus and AS Roma made winning starts on Sunday, gaining an early advantage on rivals AC Milan and Inter who were held to draws on Saturday.",1
" WASHINGTON (Reuters) - The insatiable foreign demand for  dollar holdings would eventually fall as investors diversify,  U.S. Federal Reserve Chairman Alan Greenspan said on Friday in  remarks that landed hard on the dollar.",2
"New Zealand #39;s Sarah Ulmer dealt her rivals a heavy psychogical blow today, reclaiming her individual pursuit world record in magnificent fashion at a sweltering Olympic Velodrome here today.",1
Celtic manager Martin O #39;Neill said last night he would be speaking to the agents of several players this week to get them to sign new contracts.,1
"For some people, carrying on a normal routine without the Web is almost impossible, because the Internet #39;s tools and services have become firmly ingrained in their daily lives, according to the Internet Deprivation Study.",3
"ATHENS, Greece - Andy Roddick hit one last errant shot into the net and hung his head, his medal hopes over. A short while later, Venus Williams was gone, too...",0
"As you may have heard, the Red Sox won the first World Series championship for the franchise since 1918. Making that championship even sweeter, they pulled off an unprecedented comeback against the team they and their fans love to hate, the Yankees.",1
"A 64-year old American soldier pleaded guilty on Wednesday to deserting to North Korea in 1965, receiving a relatively light sentence of up to 30 days confinement and a dishonorable ",0
"International Internet networking giant Cisco Systems, Inc. agreed Monday to acquire Herzliya-based P-Cube, Inc. for approximately \$200 million in cash and options.",3
" PHILADELPHIA (Reuters) - Travel and real estate heavyweight  Cendant Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=CD.N target=/stocks/quickinfo/fullquote""&gt;CD.N&lt;/A&gt; is nearing a deal to buy online travel  site Orbitz Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ORBZ.O target=/stocks/quickinfo/fullquote""&gt;ORBZ.O&lt;/A&gt;, which is controlled by the top five  U.S. airlines, for about \$1.2 billion in cash, a source close  to the talks said on Tuesday.",2
Militants holding a Briton and two other foreign UN workers in Afghanistan have threatened to kill them unless all Taliban and al Qaeda prisoners are released from US ,0
Jimmie Johnson thought he needed a victory to jump back into contention for the Nextel Cup championship.,1
Three aftershocks ultimately led to officials in India issuing what amounted to a false alarm.,3
"Gunmen assassinated Baghdad #39;s deputy governor on Monday, and voter registration for vital January elections began as fresh American soldiers arrived in the capital - reinforcements ",0
Reuters - Kimberly-Clark Corp.  said on\Monday it is targeting  #36;400 million to  #36;500 million in cost\savings over the next three years and still expects earnings\this quarter to meet its previous expectations.,2
"Lesser-known French retailer turns in a strong first half. Investors, take notice.",2
"Yao Ming led China to one of the biggest upsets in men #39;s Olympic basketball on Tuesday, netting 27 points as his team beat Serbia and Montenegro 67-66 to knock the world champions out of the tournament.",1
International observers in Venezuela say an audit of the referendum results which confirmed President Hugo Chavez #39;s mandate in office has revealed no evidence of fraud.,2
"Egypt #39;s interior minister affirmed on Sunday that Al-Qaeda played have no hands in Sinai bomb attacks in October. Israeli officials claimed earlier that Al Qaeda prepared the three blasts that hit the Egyptian Red Sea resorts, killing at least 34 people.",0
 ATLANTA (Sports Network) - Jason Campbell threw for a  career-high 374 yards along with three touchdowns as  third-ranked Auburn stated its case for a spot in the Orange  Bowl with a 38-28 victory over No. 15 Tennessee in the  Southeastern Conference Championship at the Georgia Dome.,1
An Australian pleads guilty to fraud after posing as a dispossessed Nigerian to cheat people of their money. Also: eBay penalizes its own con men   hellip;. Microsoft's legal woes not quite over   hellip;. and more.,2
"Australia: Australia #39;s taunting of key Kiwi cricketers was just one big yawn, New Zealand all-rounder Scott Styris said on Tuesday.",1
"The outer reaches of our solar system may have been shaped long ago by a close encounter with another star that tore up both nascent planetary systems like colliding buzz saws, astronomers said on Tuesday.",3
"ATHENS, Greece - A windsurfer whose first name means ""wave"" in Hebrew gave Israel its first Olympic gold medal ever Wednesday, taking a plunge in the Saronic Gulf to celebrate. Gal Fridman sailed a remarkably consistent regatta, never finishing worse than eighth in the 11-race series...",0
"TALLADEGA, Ala. - Joe Nemechek wasn #39;t surprised to be back at the front of the field, just that it took so long to get there. Nemechek, who earned the nickname  quot;Front Row Joe quot; when he won six poles from 1997-00, got No.",1
A technique originally designed to analyse DNA sequences is the latest weapon in the war against spam. An algorithm named Chung-Kwei (after a feng-shui talisman that protects the home against evil spirits) can catch nearly 97 per cent of spam.,3
A series  of explosions rock  Iraq's capital as smoke is seen rising above the zone housing US and Iraqi offices. ,0
"Mark Latham #39;s central pledge is to restore the rungs to his metaphorical  quot;ladder of opportunity quot; by giving tax relief and incentive to lower and middle-income earners, restoring bulk-billing levels, making schools funding fairer and based on need and ",0
"Palestinian Foreign Minister Nabil Shaat said earlier today that the US presidential elections, which will be held on November 2, have impaired the Middle East peace process.",0
CRM software giant Siebel Systems said yesterday that it is launching a new program that will cater to small and midsize businesses in a bid to help it boost flat revenues.,3
Middlesbrough narrowed the gap within two points with the top four after grabbing a 3-2 win over Manchester City in the Premier League at the Riverside Stadium on Monday.,1
"Leaders of US Airways Group Inc. #39;s pilots union rejected the carrier #39;s latest contract proposal late Monday, a blow to the No.",2
World number one Vijay Singh will face Ryder Cup captain Bernhard Langer in the first round of the World Match Play Championship at Wentworth on Thursday.,1
AP - The Transportation Security Administration is slightly altering the way airport screeners conduct patdown searches by allowing passengers to put their arms down after their upper bodies are checked.,0
Headed goals from skipper John Terry and striker Eidur Gudjohnsen gave Chelsea a 2-0 Champions League win over CSKA Moscow and virtually guaranteed their spot in the knockout round.,1
"Johannesburg - Norilsk Nickel included escape clauses in its pact to support Harmony #39;s takeover bid for Gold Fields, according to the agreement.",2
AP - Tropical Storm Jeanne formed Tuesday in the Atlantic Ocean and was expected to hit Puerto Rico with strong wind and heavy rain by Wednesday morning.,0
"The holiday season keeps the Hansen family busy harvesting, shipping and selling thousands of Christmas trees. However, this year the Hansens, along with 12 ",2
Australian officials have been investigating unconfirmed reports that an Iraqi group has captured two Australian security workers in Iraq.,0
"WASHINGTON - The green is still there, but with touches of blue, red and yellow. A stylized image of the Stars and Stripes now waves in the background.",2
"Reuters - Europe's biggest software\maker SAP could need a year more than anticipated to reach its\profitability target as it spends on research, development and\marketing, its chief financial officer said on Thursday,\sending its shares lower.",3
 LONDON (Reuters) - Britain launched an inquiry on Thursday  into the first storming of its parliament since 1647 after a  protest stunt revealed shambolic security at the heart of Prime  Minister Tony Blair's government.,0
"Shares of Gold Banc Corp. (GLDB.O: Quote, Profile, Research) fell 3.8 percent on Tuesday after the Kansas banking company terminated an agreement to be bought by Silver Acquisition ",2
DALLAS (CBS.MW) -- Dynegy Inc. said Tuesday it will buy Exelon subsidiary ExRes SHC for \$1.05 billion in a deal that expands the Houston company #39;s power generation business in the New York state market.,2
" A  rule change  proposed by the Federal Election Commission yesterday could substantially enhance the clout of the nation's business lobbies, campaign-finance lawyers said.",2
The Bush administration lobbied Chinese economic officials on Thursday to overhaul a currency regime that American manufacturers contend gives China a huge competitive advantage.,2
"AP - A lot of people love television but apparently some people have had enough of it, too. A new keychain gadget that lets people turn off most TVs  #151; anywhere from airports to restaurants  #151; is selling at a faster clip than it would take most people to surf the channels on their boob tubes.",3
"The Steelers' multi-faceted offense, featuring Ben Roethlisberger and a returning Duce Staley, poses a stiff challenge to the Redskins' No. 2-ranked defense.",1
AP - Pitcher Mike Bacsik was designated for assignment by the Texas Rangers on Sunday after going 1-1 with a 4.60 ERA in three starts.,1
