param_annealing_alphas,param_clustering_loss_weight,param_embedding_extractor,best_matching,accuracy,ari,nmi
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.4,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=3)","{0: 1, 1: 3, 2: 2, 3: 0}",0.7335423197492164,0.5238555948134528,0.5534910334659984
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.4,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=4)","{0: 3, 1: 2, 2: 1, 3: 0}",0.6724137931034483,0.46197121696853394,0.4966939453722163
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.4,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=5)","{0: 2, 1: 3, 2: 0, 3: 1}",0.5595611285266457,0.28977236052508093,0.31205813084285394
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.4,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=6)","{0: 1, 1: 0, 2: 2, 3: 3}",0.49843260188087773,0.16872080050054147,0.23066877789099405
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.5,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=1)","{0: 2, 1: 1, 2: 0, 3: 3}",0.8495297805642633,0.6521803677848871,0.6253028177220158
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.5,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=2)","{0: 1, 1: 2, 2: 0, 3: 3}",0.835423197492163,0.6236107270828389,0.5971367081427666
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.5,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=3)","{0: 2, 1: 3, 2: 0, 3: 1}",0.6316614420062696,0.3671711086626802,0.3790282786510004
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.5,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=4)","{0: 1, 1: 0, 2: 2, 3: 3}",0.8166144200626959,0.5970902858044654,0.5878335697015391
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.5,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=5)","{0: 1, 1: 3, 2: 0, 3: 2}",0.8652037617554859,0.6825617865960713,0.6538943022958941
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.5,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=6)","{0: 0, 1: 1, 2: 2, 3: 3}",0.8322884012539185,0.6168168093627419,0.5957703018606585
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.5,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=1)","{0: 1, 1: 0, 2: 2, 3: 3}",0.8197492163009404,0.6025572644668639,0.5965216833999031
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.5,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=2)","{0: 1, 1: 0, 2: 3, 3: 2}",0.7068965517241379,0.47072417883094225,0.49446218184632446
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.5,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=3)","{0: 3, 1: 2, 2: 1, 3: 0}",0.8197492163009404,0.5928025169732625,0.5729079751158331
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.5,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=4)","{0: 0, 1: 2, 2: 3, 3: 1}",0.6943573667711599,0.466564330069592,0.4933651471971798
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.5,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=5)","{0: 3, 1: 2, 2: 1, 3: 0}",0.7946708463949843,0.5554824482487266,0.5629659923573661
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.5,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=6)","{0: 3, 1: 2, 2: 1, 3: 0}",0.5,0.18513005343877342,0.19167666084579754
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.6,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=1)","{0: 2, 1: 3, 2: 1, 3: 0}",0.835423197492163,0.6257389079885576,0.6064371527527087
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.6,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=2)","{0: 2, 1: 0, 2: 3, 3: 1}",0.7147335423197492,0.4922479963633771,0.5416028205778775
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.6,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=3)","{0: 3, 1: 0, 2: 1, 3: 2}",0.8087774294670846,0.5600249515177762,0.5283124932040875
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.6,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=4)","{0: 0, 1: 1, 2: 2, 3: 3}",0.8463949843260188,0.6397587829771406,0.6087473682705427
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.6,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=5)","{0: 1, 1: 2, 2: 0, 3: 3}",0.7774294670846394,0.5065103323344411,0.5088905382210464
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.6,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=6)","{0: 0, 1: 2, 2: 3, 3: 1}",0.8025078369905956,0.5778584585727586,0.5789723300742088
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.6,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=1)","{0: 1, 1: 3, 2: 0, 3: 2}",0.5266457680250783,0.29666163449760224,0.33734348480195614
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.6,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=2)","{0: 1, 1: 0, 2: 3, 3: 2}",0.6536050156739812,0.42452656471729033,0.43290795494323253
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.6,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=3)","{0: 1, 1: 3, 2: 2, 3: 0}",0.7899686520376176,0.5493663911600006,0.5485160444740159
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.6,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=4)","{0: 1, 1: 0, 2: 2, 3: 3}",0.6050156739811913,0.33515109665618636,0.3262714348435748
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.6,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=5)","{0: 3, 1: 2, 2: 1, 3: 0}",0.5078369905956113,0.2157230048736633,0.2550967292199371
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.6,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=6)","{0: 3, 1: 0, 2: 2, 3: 1}",0.6755485893416928,0.44763751909907196,0.46124329501189587
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.7,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=1)","{0: 2, 1: 0, 2: 3, 3: 1}",0.5877742946708464,0.31565120825352,0.3441023373771942
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.7,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=2)","{0: 3, 1: 0, 2: 2, 3: 1}",0.7711598746081505,0.5219281805574976,0.5274662823145843
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.7,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=3)","{0: 0, 1: 1, 2: 2, 3: 3}",0.8181818181818182,0.5805264501227041,0.5546098978759487
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.7,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=4)","{0: 1, 1: 3, 2: 0, 3: 2}",0.768025078369906,0.5097263649102323,0.5192420169019621
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.7,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=5)","{0: 2, 1: 1, 2: 0, 3: 3}",0.7789968652037618,0.5082172115980785,0.4990338928910211
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.7,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=6)","{0: 1, 1: 3, 2: 0, 3: 2}",0.7789968652037618,0.5046025747777765,0.5015317203419886
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.7,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=1)","{0: 0, 1: 2, 2: 1, 3: 3}",0.7664576802507836,0.5139222324172529,0.5231339826251351
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.7,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=2)","{0: 2, 1: 3, 2: 0, 3: 1}",0.6661442006269592,0.335068161747935,0.3447738440435545
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.7,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=3)","{0: 0, 1: 3, 2: 2, 3: 1}",0.4843260188087774,0.2179396366739808,0.2895064919024323
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.7,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=4)","{0: 1, 1: 0, 2: 3, 3: 2}",0.5799373040752351,0.2816787226641259,0.32696298300909565
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.7,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=5)","{0: 3, 1: 0, 2: 1, 3: 2}",0.6018808777429467,0.312576392836447,0.3350570752391558
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.7,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=6)","{0: 0, 1: 3, 2: 1, 3: 2}",0.5924764890282131,0.32364361041591116,0.35121977337528515
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.8,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=1)","{0: 3, 1: 2, 2: 1, 3: 0}",0.7429467084639498,0.5201392842598166,0.5549933958407606
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.8,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=2)","{0: 2, 1: 0, 2: 1, 3: 3}",0.5579937304075235,0.3159172490125096,0.3559778192703598
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.8,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=3)","{0: 0, 1: 2, 2: 3, 3: 1}",0.8338557993730408,0.6175852367026341,0.5885026763157277
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.8,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=4)","{0: 0, 1: 3, 2: 1, 3: 2}",0.841692789968652,0.6309718368645508,0.6034081801476292
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.8,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=5)","{0: 1, 1: 3, 2: 2, 3: 0}",0.85423197492163,0.6590006957960296,0.6317352552120471
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.8,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=6)","{0: 2, 1: 0, 2: 3, 3: 1}",0.6050156739811913,0.33866332298321533,0.384465860111496
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.8,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=1)","{0: 3, 1: 2, 2: 1, 3: 0}",0.3322884012539185,0.031070100981923622,0.03504847587162492
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.8,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=2)","{0: 3, 1: 2, 2: 0, 3: 1}",0.2836990595611285,0.0018143840935929828,0.0076618817590547485
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.8,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=3)","{0: 0, 1: 2, 2: 3, 3: 1}",0.5595611285266457,0.3276684766592635,0.3619850739692312
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.8,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=4)","{0: 3, 1: 1, 2: 2, 3: 0}",0.6206896551724138,0.39665260904152455,0.4116674476035731
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.8,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=5)","{0: 1, 1: 2, 2: 0, 3: 3}",0.6410658307210031,0.4146062267700996,0.43426152945579893
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.8,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=6)","{0: 3, 1: 2, 2: 0, 3: 1}",0.7272727272727273,0.4634539700358804,0.5168616608745061
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.9,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=1)","{0: 3, 1: 0, 2: 1, 3: 2}",0.4827586206896552,0.1806492047121878,0.24201958167323498
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.9,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=2)","{0: 3, 1: 1, 2: 2, 3: 0}",0.8495297805642633,0.65078710746638,0.6212014396963584
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.9,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=3)","{0: 0, 1: 3, 2: 2, 3: 1}",0.6880877742946708,0.4394158173566331,0.4789704053236561
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.9,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=4)","{0: 3, 1: 0, 2: 1, 3: 2}",0.5924764890282131,0.35887340874385676,0.40415964274350435
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.9,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=5)","{0: 0, 1: 3, 2: 1, 3: 2}",0.7978056426332288,0.55731701695342,0.5549161576591559
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.9,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=6)","{0: 0, 1: 3, 2: 2, 3: 1}",0.7507836990595611,0.47846202477381633,0.4818861778018849
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.9,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=1)","{0: 0, 1: 1, 2: 3, 3: 2}",0.5924764890282131,0.35748904375641166,0.40821815020177243
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.9,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=2)","{0: 0, 1: 2, 2: 3, 3: 1}",0.4608150470219436,0.18981779331068135,0.22814462239377625
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.9,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=3)","{0: 2, 1: 3, 2: 1, 3: 0}",0.7210031347962382,0.46875311894643185,0.48333146705881874
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.9,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=4)","{0: 2, 1: 1, 2: 3, 3: 0}",0.5846394984326019,0.3305153167718254,0.3770742513271416
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.9,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=5)","{0: 2, 1: 3, 2: 0, 3: 1}",0.780564263322884,0.5429205986294146,0.5502229740904616
