texts,labels
"In Derek Lowe's dream scenario, a number of teams will vie for his services when he enters free agency this offseason. His only regret is that the Red Sox almost certainly will not be among them.",1
"ATA Airlines parent ATA Holdings Corp. filed for protection from creditors under Chapter 11 of federal bankruptcy law late Tuesday, and two other airlines immediately showed interest in ATA assets.",2
"The US economy continued to grow in the early fall despite being buffeted by rising energy costs and hurricanes, the Federal Reserve said yesterday, providing its last snapshot of business conditions before Election Day.",2
PC World - Suspect accused of stealing and distributing source code over the Internet.,3
"Reuters - Judges in the corruption trial of Prime\Minister Silvio Berlusconi withdrew on Thursday to decide their\verdict, which could hobble the Italian leader's political\future.",0
"CANBERRA (Dow Jones)--Renewable energy generator Pacific Hydro Ltd. (PHY.AU) reported Wednesday a 39 jump in net profit, including a one-time tax benefit, to A\$40.7 million in the fiscal year ended June 30, up from A\$29.3 million in the previous year. ",2
"Israeli Prime Minister Ariel Sharon reacted skeptically on Wednesday to a redeployment of Syrian troops in Lebanon, saying that the move did not mean any real change in Syrian policy.",0
"SPRINGFIELD, Ore. - While world-class athletes were grunting and groaning on the other side of the Atlantic Sunday, ""Boots"" went for the gold here in his own way...",0
"The FCC has voted to approve a spectrum swap for Nextel to keep emergency radio spectrum clean from interference. We let you know that it was likely to be approved, as late as yesterday.",2
"Railway officials say a train collision in northern India that killed at least 37 people apparently was caused by a communications lapse between stations, and that the ",0
A Russian spacecraft ferrying a fresh crew to the international space station had to be docked manually Saturday after an unexplained glitch sent it toward the outpost too quickly.,3
Iraqi government forces carried out a series of assaults in Saddam Hussein #39;s home region yesterday that were followed by conflicting reports that his former right-hand man was captured.,0
AP - The search for new strategies to confront global warming takes center stage in Buenos Aires on Monday as thousands of environmentalists and government policy-makers gather for an international conference on climate change.,3
Marsh  amp; McLennan CEO Jeff Greenberg may soon be on his way out the door as head of the world #39;s biggest - and most troubled - insurance broker.,2
China said it will tax some textile exports and curtail investment in its domestic industry after the US and European Union threatened restrictions on an expected flood of Chinese clothing when quotas expire Jan. 1.,2
Rafael Furcal hit a two-run homer in the bottom of the 11th inning as the Atlanta Braves beat the Houston Astros 4-2 to even their first-round National League playoff series at one game apiece.,1
"Finnish energy giant Fortum Corp. has signed a five-year agreement with Hewlett-Packard to manage its IT infrastructure and support about 10,000 users across Europe.",3
"IN THEIR minds eyes, Tim Henman, Andy Roddick and, perhaps, Marat Safin have seen themselves cradling the most famous cup in tennis.",1
"Lagos - Nigerian workers will disrupt their country #39;s key oil exports of 2.5 million barrels per day when they launch an indefinite general strike on November 16, the country #39;s top labour leader warned on Sunday.",0
"It #39;s no secret that savvy online travelers in search of the best deal on an airline ticket, hotel room or car rental have long followed Smokey Robinson #39;s admonishment: You #39;d better shop around.",3
"AGRA, INDIA - India on Monday began celebrating the 350th anniversary of the Taj Mahal, the world-famous example of Indo-Islamic architecture visited by millions of tourists every year.",0
"There's no escaping advertising. Show even a modicum of success, and marketers start looking for a way in. Really Simple Syndication feeds are the latest target. By Daniel Terdiman.",3
"With 30m subscribers added in the 12 months leading up June 30, 2004, the number of global users of the DSL broadband technology reached 78m, according to the latest data produced for the DSL Forum, the international DSL trade association, by industry ",3
"Travelers didn #39;t plan on starting their long Thanksgiving weekend stuck in airports or driving on slippery roads, but then again they hadn #39;t figured on snow - and a lot of it.",2
"Negotiations between the Nigeria Labor Congress (NLC) and the government over rising fuel prices collapsed on Friday, forcing the labor to begin its planned strikenext week with the first phase lasting four days.",0
"ATI Technologies Inc., the world #39;s second-biggest maker of computer-graphics chips, said fourth- quarter net income more than doubled, helped by sales of graphics- enhanced cell phones and high-definition televisions.",2
"WOKHA, India -- The Nagas of northeastern India, warriors for centuries, launched the country's oldest insurgency nearly five decades ago -- a few years before their last tribe gave up headhunting. They have been poor for much longer, but they are in no hurry to tap the oil riches lying roughly a mile beneath their feet. Protecting the land their ...",0
Oil prices rose for the second day in a row on Thursday as several OPEC ministers called for the cartel to stop producing more oil than its official target.,2
"PHOENIX - Craig Counsell is returning to the Arizona Diamondbacks, the latest in an offseason spree of signings designed to turn baseball #39;s biggest losers into winners again.",1
"MSN Spaces, Microsoft #39;s new blogging service, has sparked a new game for some of its users: trying to circumvent its censorship controls.",3
A German who had his lower jaw cut out because of cancer has enjoyed his first meal in nine years - a bratwurst sandwich -fter surgeons grew a new jaw bone in his back muscle and transplanted it to his mouth in what experts call an ambitious ,3
"European Space Agency -- ESAs quartet of space-weather watchers, Cluster, has discovered vortices of ejected solar material high above the Earth.     The superheated gases trapped in these structures are probably tunnelling their way into the Earths magnetic bubble, the magnetosphere...",3
"World News: London, Oct 15 : Sarah Forsyth, the sacked Eton teacher who alleged that she had helped Prince Harry cheat while he was taking his A-Levels, has now produced a tape of Prince Harry, which she says will substantiate her charge.",0
A bacteria-eating virus is the star of a new video that could help researchers learn the secrets of viral infection and thereby develop better gene therapies. By Kristen Philipkoski.,3
"Reuters - Microsoft Corp. \shareholders cleared the way on Tuesday for the world's largest\software maker to pay out the largest corporate dividend ever\next month and welcomed news of a blockbuster first day of\sales for its video game ""Halo 2.""",2
"Thai academics say policies in the country's south are not working, and call on Thaksin Shinawatra to apologise.",0
" UNITED NATIONS (Reuters) - China is threatening to veto a  revised U.S. draft resolution that would consider U.N.  sanctions against Sudan's oil industry if Khartoum does not  rein in marauding militia fighters in its Darfur region,  diplomats reported on Wednesday.",0
com. Alex Rodriguez had yet to prove to Yankees fans that he was worth his hefty price tag before this American League Division Series against the Twins.,1
LONDON (CBS.MW) -- French-Belgian bank Dexia and Italy #39;s Sanpaolo IMI both confirmed a report on Thursday that they were in talks that could lead to the creation of the eurozone #39;s fourth largest bank.,2
"AP - An anxious search Tuesday of a Chicago harbor turned up no more northern snakeheads, a voracious alien fish that can devastate freshwater ecosystems by gobbling up food and native fish.",3
" LAGOS (Reuters) - Dozens of people were killed in a  petroleum pipeline explosion in Nigeria's commercial capital  Lagos, police said Friday.",0
"TOKYO (AFX) - Mitsubishi Electric Corp plans to stop producing LCD (liquid crystal display) panels for television sets and personal computers and shift to smaller panels for cellular phones and industrial equipment, the Nihon Keizai Shimbun reported ",3
The lawsuit claims South Korea-based NCSoft and San Jose-based Cryptic Studios violated Marvel #39;s trademark characters in their game City of Heroes.,3
"The question comes up every year: Does the Nobel Peace Prize matter? This year #39;s winner, Wangari Maathai of Kenya, is living proof the 103-year-old prize is an honour some people richly deserve.",0
ENGLAND will resume their weather-hit encounter with Sri Lanka determined to win rather than relying on their superior run-rate get them to next Tuesday #39;s semi-final against Australia.,1
"The bank cites errors, puts two top executives on leave and delays its third-quarter report. By JOHN HIELSCHER. SunTrust Banks Inc.",2
"Iran has not diverted declared nuclear materials for weapons but concern remains, the UN watchdog says.",0
"AP - The Cubs had only Monday available to play their makeup doubleheader against Florida, and as it turned out, the weather was great. But to Dusty Baker's dismay, David Weathers was pretty good, too. The journeyman right-hander, making his first start in six years, limited Chicago to two hits and one run in five innings, and the Marlins won the second game 5-2 to earn a split.",1
AP - He slips. He trips. He lets it rip. That's Manny Ramirez.,1
Many have been expecting the initial public offering (IPO) from the Las Vegas Sands (NYSE: LVS) to be hot. The shares were originally priced at \$20 to \$22 each.,2
"Olympic relay gold medalist and world 400-meter champion Jerome Young was given a lifetime ban from the US Anti-Doping Agency for his second performance-enhancing drug violation, according to USA Today.",1
"Business software maker Oracle Corp. on Friday said it will release its second-quarter earnings before US markets open on Monday, instead of Thursday, due to issues related to its takeover bid for PeopleSoft Inc.",2
"The New England Patriots showed the stingiest team in the NFL that they also can dominate on defense. They shut down Baltimore 24-3 Sunday, scoring on a fumble recovery and holding the Ravens to 124 yards.",1
"Berlin - A German teenager accused of creating the Sasser worm that infected millions of computers around the world is being taught to become a security software programmer, the company that hired him said on Friday.",3
" NEW YORK (Reuters) - Insurance broker Willis Group Holdings  Ltd. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=WSH.N target=/stocks/quickinfo/fullquote""&gt;WSH.N&lt;/A&gt; on Monday said it hired a top executive from  embattled rival Marsh   McLennan Cos. Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MMC.N target=/stocks/quickinfo/fullquote""&gt;MMC.N&lt;/A&gt;.",2
Shares of Radiation Therapy (RTSX:Nasdaq - news - research) were among the worst-performing health and pharmaceutical stocks Thursday after Banc of America Securities initiated coverage with a sell rating.,2
"LG Electronics (LGE) announced the availability of three mobile-phone models, the T5100, L3100 and L1100, in Taiwan on November 6. The T5100 features the companys first model equipped with a 1.3-megapixel camera.",3
"- Belgium #39;s Kim Clijsters, left, kisses Australian Lleyton Hewitt, center, after their  quot;love match quot; tennis game at the Expodroom in Bree, Belgium, in this Saturday April 17, 2004 file photo.",1
"CAPE CANAVERAL-- The explosive growth of tools and toys using data from the US military #39;s array of Global Positioning System satellites is showing no signs of letting up, and the US Air Force aims to meet demand.",3
"IN THE face of mounting unrest, Graeme Souness remains determined to reverse the declining fortunes of Newcastle United, but he, like his predecessors, has quickly appreciated that management ",1
Medical advances are forcing more patients and families to confront ever more grueling choices about living and dying.,0
"India reports success, while Venezuela fears fraud. What can the United States learn?",3
"Blood swirled in knee-deep floodwaters as workers stacked bodies outside the hospital morgue Tuesday. Carcasses of pigs, goats and dogs and pieces of smashed furniture floated ",0
"NewsFactor - Taking an innovative approach to the marketing of high-performance \computing, Sun Microsystems (Nasdaq: SUNW) is offering its N1 Grid program in a pay-for-use pricing model that mimics the way such commodities as electricity and wireless phone plans are sold.",3
"Tokyo stocks surged at the open on Monday, fueled by Wall Street #39;s gains last week. The US dollar was higher against the Japanese yen.",2
"Actually, the funeral took place a while ago. What happened Friday night merely was the posting of the official death notice. Honestly, were you shocked, shocked, shocked, to see Argentina knock the golden gloss off Team USA?",1
"Mumbai: The board of directors of Reliance Industries Ltd had considered the letter written by Anil Ambani, Vice-Chairman and Managing Director, regarding the decision taken at the July 27 board meeting on powers and authorities of the CMD.",2
"Brighton (England), September 29: Prime Minister Tony Blair said on Tuesday Britain must build a new skills base to avoid losing jobs to developing economies like China and India.",0
NewsFactor - Oracle's (Nasdaq: ORCL) promise to step away from its pursuit of PeopleSoft (Nasdaq: PSFT) if less than 50 percent of the company's shares are tendered by Friday may not be the last word in the deal.,3
"Last year a chunk of the foam damaged a wing of the Columbia, leading to the breakup of the shuttle high over Texas. NASA is aiming for three shuttle flights in 2005.",3
"As part of its growing effort to thwart piracy, Microsoft is offering free photo slideshow software to customers who verify that they have a genuine copy of Windows.",3
Microsoft has developed a convenient solution for replacing all those passwords with something you don #39;t have to worry about forgetting: your fingerprint.,3
BRUSSELS : Olympic champion Justine Henin-Hardenne announced that her season is over because of persistent fatigue brought about by her struggle to recover from a long-term virus.,1
 LONDON (Reuters) - The dollar struggled just above this  year's record low against the euro on Friday amid worries about  the health of the U.S. economy but caution ahead of U.S. jobs  data later in the day limited its moves.,2
"OCTOBER 11, 2004 (REUTERS) - NEW YORK -- Diebold Inc., the leading maker of automated teller machines, today reduced its third-quarter and full-year earnings forecasts as it absorbs costs for recertifying its electronic voting machines in California and ",2
"They lined up in Georgia, braved the cold in Connecticut, and tried to stay awake in Chicago. From coast to coast shoppers rushed to the stores -- and they were enthusiastic in Seattle.",2
Description: The world #39;s economic leaders indicate support for the idea of forgiving the debt of the world #39;s poorest countries.,2
"The Expos cleared another logistical hurdle in their move to Washington on Friday, announcing an agreement with Ticketmaster to handle ticket sales.",1
"AP - The Denver Nuggets signed free agent forward Rodney White to a 2-year deal Tuesday, a day after a judge allowed him to leave Washington D.C. for the first time since his arrest last month on a gun charge.",1
"PeopleSofts top shareholder, Capital Guardian Trust, has decided to support Oracles \$8.8 billion hostile takeover, but the No. 2 holder, Private Capital Management, has decided against it.",3
"BusinessWeek Online - The announcement sent ripples of anxiety through the tech world. On Sept. 15, J.P. Morgan Chase  amp; Co.  said that it was terminating a seven-year,  #36;5 billion technology-outsourcing deal with IBM. For many, it's an article of faith that corporations will gradually hand off ever more of their technology operations to big service providers such as IBM, Accenture , and Electronic Data Systems . Yet here was the nation's second-largest bank taking its tech back because it was strategically too important to be left to an outsider. ...",3
A Swiss group may have helped more British people bypass the UK ban on euthanasia than previously thought.,0
" SAN FRANCISCO (Reuters) - IBM &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=IBM.N target=/stocks/quickinfo/fullquote""&gt;IBM.N&lt;/A&gt; will offer future  employees a 401(k) pension plan instead of a fixed pension, the  company said on Thursday, backing away from a controversial  policy that reduced retirement payouts and stirred employee  ire.",2
US stocks finished flat on Wednesday after the Federal Reserve raised interest rates for a fourth time this year and indicated it would keep its moderate campaign of tightening ,2
1015 GMT (Dow Jones) LONDON--European stocks higher driven by gains for oils and mining stocks. Trader says expiration of derivatives contracts or  quot;triple witching quot; not having major impact.,2
"Enterprise Sales for BlackBerry is designed to deliver full application functionality, including alerts on hot sales leads, prescriptive analytics, and remote security.",3
" NEW YORK (Reuters) - U.S. regulators won't approve Allergan  Inc.'s &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=AGN.N target=/stocks/quickinfo/fullquote""&gt;AGN.N&lt;/A&gt; experimental treatment for the skin disorder  psoriasis based on the data submitted, the company said on  Monday.",2
Reuters - The dollar fought back from one-month\lows against the euro and Swiss franc on Wednesday as investors\viewed its sell-off in the wake of the Federal Reserve's\verdict on interest rates as overdone.,2
"Reuters - Israel's parliament on Monday voted\to reject a session-opening speech by Prime Minister Ariel\Sharon, dealing a symbolic setback to his disputed plan to\withdraw from some occupied territory.",0
Indiana Pacers chief executive Donnie Walsh says the team hasn #39;t decided whether it will appeal the NBA #39;s suspensions of Ron Artest and two other Indiana players following Friday night #39;s brawl in Detroit.,1
Grace Park has four straight birdies on the back nine in a 6-under-par 66 that puts her in a tie for the lead after the opening round of the Asahi Ryokuken International Championship.,1
NASA #39;s unmanned X-43A plane is the latest product of its research program into flight at more than five times the speed of sound.,3
Company's upgrades will put a particular focus on protecting personal information from online thieves.,3
"Internet travel sites are cheating cities on taxes by pocketing the difference between the hotel room tax they pay and the amount collected from consumers, the city of Los Angeles said in a lawsuit filed last week.",3
Looks like Microsoft may have been biding its time to get back at search giant Google. Missing Links,3
"AP - Pakistan's parliament elected former finance minister Shaukat Aziz, a close ally of President Gen. Pervez Musharraf, as prime minister on Friday after the opposition boycotted the vote, saying it was undemocratic.",0
"MUMBAI: India #39;s nuclear czar Raja Ramanna (79) passed away at 3.15 am on Friday at Bombay Hospital. The architect of the country #39;s atom bomb project, who had serious intestinal problems, was cremated at the Shivaji Park crematoriumon Friday afternoon.",0
Peyton Manning threw three touchdown passes to move closer to the all-time season record as the Indianapolis Colts routed the visiting Tennessee Titans 51-24 in the NFL on Sunday.,1
NEW YORK -- The price of oil settled above \$50 US a barrel for the first time yesterday amid concerns over tight supplies globally and hurricane-related production problems in the Gulf of Mexico.,2
"WASHINGTON - Voters are so deadlocked on their choice for president that the campaigns will need to focus on keeping the intensity of support high and turning them out on Election Day, according to pollsters who conducted a bipartisan survey.    The overall race between Democrat John Kerry and President Bush, a Republican, remains deadlocked...",0
AFP - Diplomats from eight countries left the North Korean capital for the remote site of a mysterious explosion to check Pyongyang's claim that it was not a nuclear blast.,0
Four Hollywood studios this week embraced a new high-definition DVD format from electronics giant Toshiba - raising many questions for video lovers who have driven sales of pre-recorded DVDs to new heights.,3
"Psychologists and neuroscientists have spent several decades producing theoretical models of the mental processes and neural networks that might  be involved in the kaleidoscopic state of psychosis. Largely concerned with simulating the nuts-and-bolts of the mind and brain, these  computer models generate results that tend only to be of interest to researchers and their scientific colleagues. More recently, scientists have decided to harness the power of virtual reality, in an attempt to move beyond the confines of theory, to simulate the experience of psychosis itself.",3
"Tokyo, Japan (Sports Network) - Japan #39;s baseball players have decided to go on strike for the first time in the 70-year history of the sport in that nation.",1
" RAMALLAH, West Bank (Reuters) - Palestinians accused the  United States on Sunday of destroying hopes of negotiations  with Israel for a Palestinian state, after Washington signaled  it could accept some growth of settlements in the West Bank.",0
"Market research firm Gartner reported worldwide growth of PDA shipments for the third quarter of 2004, with Windows CE outpacing Palm OS installations for the first time.",2
Intel Corp. is planning to introduce a faster front-side bus on an upcoming version of its Pentium 4 Extreme Edition processor that will help the firm increase the performance of its chips by improving a crucial bottleneck in system performance.,3
"AP - Internet portal Yahoo Inc. said Tuesday that it agreed to buy Web-based digital music and software provider Musicmatch Inc. for  #36;160 million in cash, in a deal which will supplement the offerings of Launch, Yahoo's digital music site.",3
AP - Some of the main leaders in the United Iraqi Alliance:,0
AP - Chris Young never expected to have to choose again between baseball and basketball. The Texas Rangers helped make it an easy decision for the 6-foot-10 pitcher.,1
"Danske Bank A/S, the Nordic region #39;s second-largest lender, agreed to buy two Irish units from National Australia Bank Ltd. for 967 million pounds (\$1.86 billion) to expand outside Scandinavia.",2
" JERUSALEM (Reuters) - Israel could end up on a collision  course with the European Union and face sanctions like  apartheid-era South Africa unless the Israeli-Palestinian  conflict is resolved, a confidential government report warns.",0
Congo #39;s government spokesman denied Tuesday that rival army factions were fighting each other in the east of the country and insisted the clashes were between Congolese and Rwandan forces.,0
"Reuters - Texas Instruments Inc. ,\the largest maker of chips for cellular phones, on Monday said\quarterly profit rose about 26 percent on demand from handset\makers even as it struggles with a nagging inventory problem.",3
"BEA Systems is set to release Diablo, an SOA-based application server that is the cornerstone of the upcoming WebLogic Platform 9.0.",3
Low-fare carrier Southwest Airlines Co. said Thursday that its third-quarter profit rose 12.3 percent to beat Wall Street expectations despite higher fuel costs.,2
AP - Microsoft Corp.'s MSN Music site will begin featuring some artists from the independent music Web site GarageBand.com in a deal both companies said is aimed at giving little-known musicians access to a broader audience.,3
Carl Yankowski replaces Jesse Sutton as CEO of the game publisher.,3
"Drug-distributor AmerisourceBergen Corp., following in a rival #39;s footsteps, warned that lower-than-expected increases in drug prices will hit earnings for the quarter and fiscal year ended Sept.",2
"Investigators are seeking to determine the route taken by 16-year-old suicide bomber Amar al-Far, and find out who assisted him after he left his home in the Askar refugee camp near Nablus at 7:30 Monday morning, blowing himself up just over three hours ",0
Their meeting comes after the British PM played down claims that he had been warned a year before the war to oust Saddam Hussein of the chaos that might follow.,0
" The chief operating officer of Enron Corp.'s failed Internet unit pleaded guilty yesterday to a single criminal conspiracy charge and agreed to cooperate with the government, as prosecutors continued to build their case against the Houston energy company's top leaders.",3
"Finally, the wait is over. After a long wait, iRiver has finally decided to challenge the might of Creative and Apple in the 5 GB portable music player department.",3
"The first African woman to win the Nobel Peace Prize, environmental activist Wangari Maathai, received her award Friday to the beat of drums and ",0
"THE MUNICH City Council is set to press ahead with a huge Linux project, despite fears of future patent problems. According to Reuters, the council is expected to take a calculated risk and approve the switch ",3
"Computer glitches which led to chaos for HSBC customers on Monday are fixed, the High Street bank confirms.",3
"AFP - Police arrested four men in London under Britain's anti-terrorist law, as a Sunday newspaper claimed it had infiltrated a gang trying to buy radioactive material for a  quot;dirty bomb quot;.",0
"NewsFactor - Novell (Nasdaq: NOVL) offer a new desktop version of Linux for its enterprise customers, the company announced Monday.",3
A landmark trial arising from attacks on Muslims that swept the state of Gujarat in 2002 was thrown into turmoil Wednesday when the government #39;s star witness accused ,0
Antonio Alfonseca #39;s return to the Marlins #39; bullpen has been put on hold because of a physical that found problems in the right-handed reliever #39;s back.,1
"Researchers have for the first time established the existence of odd-parity superconductors, materials that can carry electric current without any resistance.",3
"The world is consuming some 20 percent more natural resources a year than the planet can produce, conservationist group WWF warned on Thursday.",3
The Bears #39; release of eight-year veteran defensive tackle Bryan Robinson on Sunday was shocking only if the progress made by first-round draft choice Tommie Harris is ignored.,1
The Palestinian Fatah Movement threatened to boycott the upcoming presidential elections unless the cause of Yasser Arafat #39;s is revealed.,0
Olympic swimming sensation Michael Phelps was drowning in criticism from his coach and fans last night after being busted for drunken driving in Maryland.,1
"Vehicles with sensors that can, for example, automatically apply brakes are 41 percent less likely to get into single-vehicle crashes, which account for 60 percent of all fatal crashes, according to government statistics.",2
Delta Air Lines Inc. said Monday it has obtained up to \$600 million in new financing as the struggling carrier seeks to avoid bankruptcy.,2
" NEW YORK (Reuters) - CNNfn, the financial news cable  network owned by Time Warner Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=TWX.N target=/stocks/quickinfo/fullquote""&gt;TWX.N&lt;/A&gt;, on Thursday said it  will cease business operations by mid-December due to the  growing competitive challenges.",2
"Reuters - Cazenove is getting serious in its\courtship with at least two U.S. investment banks and the\180-year old UK brokerage could tie the knot with one of its\suitors in a matter of weeks, sources close to the situation\said Monday.",2
"Citigroup Inc. (CN: Quote, Profile, Research) faces a lawsuit from angry investors who allege they were defrauded in a  quot;massive scheme of deception quot; when they ",2
"Scientists discover a new group of giant apes in central Africa, which could be a new species of primate.",3
GAZA CITY: Prime Minister Ariel Sharons optimism for peace in 2005 was immediately dealt a blow by Israelis with the killing of six Palestinians on Friday by Israeli troops during an incursion in Gaza.,0
"&lt;p&gt;&lt;/p&gt;&lt;p&gt; By Axel Bugge&lt;/p&gt;&lt;p&gt; BRASILIA, Brazil (Reuters) - Burning of the Amazon andother forests accounts for three quarters of Brazil'sgreenhouse gas emissions and has made the country one of theworld's leading polluters, a long-delayed government reportshowed on Wednesday.&lt;/p&gt;",0
ST. LOUIS - Pulitzer Inc. said Sunday that company officials are considering selling the newspaper publisher to boost shareholder value.,2
"SEPTEMBER 13, 2004 (COMPUTERWORLD) - Cisco Systems Inc. tomorrow plans to announce an all-new line of branch-office routers that integrate basic routing capabilities with IP voice support, security tools and other functionality.",3
WASHINGTON - Senate Intelligence Committee Republicans proposed removing the nation's largest intelligence gathering operations from the CIA and the Pentagon and putting them directly under a new national intelligence director.    Sen...,0
"MEMPHIS, Tenn. Undefeated Boise State will play Number Seven Louisville in the AutoZone Liberty Bowl game on December 31st (in Memphis).",1
The choice of Alberto R. Gonzales as attorney general may be part of a strategy to bolster his credentials with conservatives.,0
"The average US retail price of gasoline rose slightly over the last two weeks to almost \$1.88 a gallon -- the first increase reported since late May, according to the nationwide Lundberg survey of about 8,000 gas stations.",2
"The firm led by the acting chief executive of Enron asked a bankruptcy judge for a \$25 million  quot;success fee quot; for its efforts in shepherding the company through nearly three years under Chapter 11 bankruptcy, a court filing shows.",2
Dieters hoping for a slew of new products with the sugar substitute Splenda may be disappointed next year.,2
" NEW YORK (Reuters) - CNNfn, the financial news cable  network owned by Time Warner Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=TWX.N target=/stocks/quickinfo/fullquote""&gt;TWX.N&lt;/A&gt;, on Thursday said it  will cease business operations by mid-December, after fighting  a losing battle against the far larger rival CNBC.",2
"AP - Lebanon's Parliament amended the country's constitution Friday to extend pro-Syrian President Emile Lahoud's term, ignoring U.N. calls to hold an election to choose the head of state.",0
"PARIS The chief executive of Boeing, Harry Stonecipher, insisted Thursday that he was trying to prevent a trans-Atlantic dispute over subsidies for Airbus by demanding an end to government aid programs for the rival aircraft manufacturer.",2
" NEW YORK (Reuters) - Kroger Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=KR.N target=/stocks/quickinfo/fullquote""&gt;KR.N&lt;/A&gt;, the largest U.S.  grocer, on Tuesday reported a 25 percent drop in quarterly  profit, hurt by debt redemption costs.",2
"BusinessWeek Online - Once a month, 24-year-old Jane Manarang drops by the McDonald's  in her busy Manila neighborhood. But she's not there for a burger and fries. Instead, she is stopping by to cash an electronic check. Her husband, a teller at Forex International in Hong Kong, sends a portion of his salary to Manarang using a new mobile-phone-based cash remittance service called Smart Padala. His Hong Kong remittance company sends a text message to Jane's phone, crediting the money to her account. ...",3
"In a few years, every new electronics device will likely have a network address.",3
"Company(TM), today introduced the first in a new family of durable enterprise digital assistant (EDA) products specifically designed for business essential applications within the enterprise environment.",3
"Though it seems most sex toys are designed for women, it's the male-oriented ones that nudge the technology to new levels. Commentary by Regina Lynn.",3
