,texts,labels
23,"For months, homeland security officials have privately debated how to blunt criticism of their planned aviation screening system that passengers and airlines complained was overly intrusive.",2
24,"If Kurt Busch goes on to win his first NASCAR title, he can point to the 500 miles at Lowe #39;s Motor Speedway as the defining race of his season.",1
25, LONDON (Reuters) - King-sized Mars and Snickers chocolate  bars will be cut down to size in Britain next year as a leading  food manufacturer responds to growing pressure about portion  distortion and rising levels of obesity.,2
26,"Microsoft Corp. next month will release Virtual Server 2005, its first foray into server virtualization and a key element of the broad management platform the company is creating for Windows.",3
27, NEW YORK (Sports Network) - Minnesota Timberwolves guard  Latrell Sprewell has been suspended one game without pay for  directing obscenities toward fans.,1
28,"TORONTO (CP) - Canadian adults will spend an estimated average of \$991 this holiday season on gifts, clothing, travel, beauty services, food, drink and entertainment, an Ipsos-Reid survey suggests.",2
29,"The BBC's John Simpson assesses the legacy of Yasser Arafat, a man he knew well.",0
30,Andrew Hall steers South Africa to 230-4 on day one of the first Test against India.,0
31,"Royal Dutch/Shell will invest \$15 billion (8 billion pounds) a year in 2004/06 to boost reserves and production, as it tries to draw a line under a reserves scandal that rocked the group.",2
32,The Red Sox are trying to keep up their momentum tonight at Fenway Park in Game Two of the World Series. Boston scored two runs in the bottom of the fourth inning.,1
33," NEW YORK (Reuters) - Dow Chemical Co.'s &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=DOW.N target=/stocks/quickinfo/fullquote""&gt;DOW.N&lt;/A&gt;  third-quarter profit surged 86 percent on increased plastics  sales, but demand remains vulnerable to soaring energy costs,  the No. 1 U.S. chemicals maker said Thursday.",2
34,NEW YORK SBC Communications is lowering the projected cost of its program to bring fiber-optic cables to the edge of most neighborhoods.,2
35,Software giant Microsoft is casting its sights on the digital media marketplace by positioning itself as pro-consumer-choice. The company unveiled its MSN Music ,3
36,"AP - It has been singled out as the second-leading cause of lung cancer in the United States, right behind smoking. But to Shiro Umeda, sprightly at 74, radon is the best thing since aspirin.",3
37,"AP - Rep. Duncan Hunter says his son, a Marine artillery officer who has served in Iraq, asked him for two favors. One was to fix his Ford Bronco. The other was to stand firm in opposing an intelligence bill that would strip authority from the Pentagon.",0
38,VfL Wolfsburg moved three points clear at the top of the Bundesliga with a 3-0 victory at home to Stuttgart on Saturday as Schalke 04 #39;s six-match winning run came to an end.,1
39,"AP - Tim Wakefield allowed three hits in eight innings and the Boston Red Sox won their sixth straight game with a 6-1 victory over the Detroit Tigers on Sunday. Wakefield (11-7) gave up only Nook Logan's double in the third, Craig Monroe's 10th homer in the fifth and Logan's single in the eighth.",1
40, LONDON (Reuters) - The dollar retained most of the previous  session's gains against the euro on Monday after a positive  U.S. jobs report last week reinforced expectations for an  interest rate rise later this month.,2
41,"Intel Corp., the world #39;s largest maker of computer chips and a major employer in Folsom, has reportedly dropped plans to develop a chip for projection TVs, the latest in a series of product shifts by the Santa Clara company.",3
42,KATHMANDU: Nepal #39;s ruling coalition expressed hope yesterday for peace talks to end eight years of war as the capital returned to normal after Maoist rebels who control much of the countryside lifted a blockade.,0
43,"MOSCOW. Oct 16 (Interfax) - The Russian manned spacecraft Soyuz- TMA-5 docked with the International Space Station at 8:15 am Moscow time Saturday, an Interfax correspondent reported from the Space Mission Control.",3
44,"PORT-AU-PRINCE, Haiti - Former soldiers who ousted President Jean-Bertrand Aristide in a revolt said Wednesday that reinforcements are advancing on Haiti #39;s capital to stop violence that has killed at least 46 people.",0
45," GONAIVES, Haiti (Reuters) - Survivors of devastating  flooding in Haiti wandered mud-clogged streets in search of  food on Tuesday as officials said more than 700 people had been  killed and at least 1,000 were missing.",0
46,Scientists say they have developed an effective vaccine against malaria that could be ready in six years.,3
47,"Thanks to new high-tech gear, opponents in golf and racket sports can be across town - or across the country.",3
48,WHY IT HAPPENED Tom Coughlin won his first game as Giants coach and immediately announced a fine amnesty for all Giants. Just kidding.,1
49,The privately held company today released free desktop search software in a move some see as a test of the product's market viability in what is becoming a crowded field.,3
50,STOCKHOLM -- Israelis Aaron Ciechanover and Avram Hershko and American Irwin Rose were awarded the 2004 Nobel Prize in chemistry yesterday for discovering a key way cells destroy unwanted proteins -- starting with a chemical ''kiss of death. quot;,0
51,Video gamers are getting younger and younger. And parents and the video game industry agree that the implications are likely to be enormous.,3
52,"LONDON (AFP) -- Any one of a number of technical malfunctions might have caused the loss of Beagle 2, the ill-fated British space probe that vanished while attempting to land on Mars, an investigation found.      A six-month inquiry by project organisers, their second attempt to discover what went wrong with the mission, was unable to pinpoint why the tiny craft vanished shortly before it landed on Mars on Christmas Day last year...",3
53,"Bali, Indonesia (Sports Network) - Seventh-seeded Argentine Gisela Dulko moved into the quarterfinals, while third-seeded Japanese Ai Sugiyama and 2003 Bali runner-up Chanda Rubin were a pair of opening-round losers Wednesday at the \$225,000 Wismilak ",1
54,"WASHINGTON -- The Bush administration plans to ask for between \$80 billion and \$100 billion to fund military operations in Iraq and Afghanistan next year, rather than the \$70 billion to \$75 billion the White House privately told members of Congress before the election, according to Pentagon and White House officials.",0
55,"Novell (Quote, Chart) announced today that it was moving up the timetable by 10 months on its new Open Enterprise Server (OES). The new server, due out in February, will include Novell #39;s NetWare operating ",2
56,WASHINGTON With just weeks before the election -- there #39;s concern that the rules on political fund-raising could be  quot;in chaos.,2
57,NASA will try this morning to set a speed record of Mach 10 -- that #39;s 11.2 thousand kilometres an hour -- with an unmanned hypersonic jet.,3
58,"Viagra, Oxycontin and some AIDS drugs will be among the first to carry radio chip tracking devices under a new Food and Drug Administration initiative.",0
59,The U.S. Marine Corps is replacing aging supply chain systems with Oracle software to better serve combat troops.,3
60,"AP - More than 60 countries agreed Sunday to ban the killing of sharks for their fins in the Atlantic Ocean, a move that conservationists hope will increase protection of threatened species around the world.",3
61,"The US Air Force early next year will require its 525,000 personnel and civilian support staff to use a single and specially configured version of Microsofts operating system and applications, said the military departments CIO.",3
62,Thursday #39;s pro-Oracle Corp. decision on the US Department of Justice #39;s attempt to block Oracle #39;s proposed takeover of PeopleSoft Inc.,2
63,"Florida long-snapper Casey Griffith let the secret slip while talking to a Fort Lauderdale (Fla.) Sun-Sentinel reporter this week:  quot;Don #39;t tell anyone I told you this, but someone inside the system told me they heard we #39;re going to be playing against ",1
64,Britons are set to face some stark choices over their pensions with the publication of a new report on Tuesday. The Pension Commission #39;s independent report is expected to warn that the UK population needs ,2
65,"Reuters - Scientists have discovered a new\species of flightless bird on a remote island in the\Philippines, the conservation group BirdLife International said\on Tuesday.",3
66,The US House of Representatives passed a second spyware bill on Thursday adding more teeth to a previously passed spyware bill that included fines for offenders.,3
67,"Qatar #39;s multimillion-pound investment in importing sporting talent reaped some benefit when Saif Saeed Shaheen broke the world record for 3,000 metres steeplechase in the Memorial Van Damme in the Stade Roi Baudouin here last night.",1
68,"As farmers are pitted against developers allied with local officials, peasants and other rural landowners who still make up 60 percent of China's 1.3 billion people increasingly have tried to resist.",0
69,Reuters - Circuit City Stores Inc.  on\Tuesday reported a 2.9 percent gain in quarterly same-store\sales but its growth lagged estimates due to a calendar shift\and reduced spending through August.,2
70," ATLANTA (Reuters) - Home Depot Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HD.N target=/stocks/quickinfo/fullquote""&gt;HD.N&lt;/A&gt;, the top home  improvement retailer, on Tuesday reported a 15 percent rise in  third-quarter profit, topping estimates, aided by installed  services and sales to contractors.",2
71,"KB Toys Inc. on Tuesday said that it will close between 141 to 238 underperforming stores by Jan. 31, 2005 -- including possibly three in San Antonio.",2
72,INTERNATIONAL Olympic Committee members Susie O #39;Neill and Kevan Gosper have called for the IOC to strip Sydney triple gold medallist Marion Jones of her medals if she is proven to be a drug cheat.,1
73,AP - The Senate's top two Republicans voiced support for Donald Rumsfeld on Friday as allies of the defense secretary sought to outflank increasingly vocal GOP critics in and out of Congress.,0
74,"Intel Korea on Tuesday released the Mobile Intel Pentium 4 Processor 548, which targets the personal laptop computer market. The central processing unit can operate multi-media programs that need a high performance capacity, explained the company.",3
75,Militants attacking an Israeli armored bulldozer inadvertently killed three other Palestinians Tuesday during an Israeli operation to destroy weapons-smuggling tunnels from Egypt.,0
76,A company creates artificial reefs with cremation ashes and marine-grade concrete to honor the remains of the dearly departed.,0
77,"Iran said on Sunday that the nuclear negotiations with the European Union (EU) in Paris were complicated but progressing, the official IRNA news agency reported.",0
78,"World News London, Sep 26 : British Prime Minister Tony Blair reiterated Sunday his government would do everything it could to win the release of a Briton taken hostage in Iraq, Xinhua reports.",0
79,"While baseball immortality awaits Barry Bonds, it remains to be seen whether he will be a more popular figure once he becomes the third player in history to hit 700 homers.",1
80,"A third of people on the planet will be learning English in the next decade, \says a report.",0
81,"Hewlett-Packard said Friday that it has won a \$55 million, five-year contract from retailer 7-Eleven to upgrade the technology at the convenience store chain.",3
82,Baseball's winter meeting will run through the weekend and could lead to any number of trades and free-agent signings.,1
83,South Koreas Tae Young Yang has filed an appeal to the Court of Arbitration for Sport challenging the result of the mens all-round gymnastics final.,1
84,The two-man crew of the international space station went outside again for more repair work. Gennady Padalka and Mike Fincke spent five and a half hours plugging in new antennas and replaced a worn-out piece of cooling equipment.,3
85,"Most IT Managers won #39;t question the importance of security, but this priority has been sliding between the third and fourth most important focus for companies.",3
86,"The Motley Fool - If you've ever had the entrepreneurial bug dig its teeth into you, odds are that you might take heart anytime a company's founder steps down and moves on. Granted, sometimes you have instances like Gateway's (NYSE: GTW - News) Ted Waitt and Apple's (Nasdaq: AAPL - News) Steve Jobs in which the originators come back to lead their companies, but that's rarely the case.",3
87,LONDON (CBS.MW) -- Zurich Financial (ZZ:001107539) gained 2.6 percent in Swiss trade after agreeing to settle US nursing home litigation by paying \$47.5 million.,2
88,Dutch film director and columnist Theo van Gogh was shot and killed yesterday morning in Amsterdam. The company Gogh owned and worked explained that he was attacked and murdered in the morning at Lineaustraat Street.,0
89,"NEW YORK - The way the Boston Red Sox are playing these days, nothing seems to be able to stop them. Not even Mariano Rivera...",0
90,"AP - Bernard Kerik, who withdrew his nomination for homeland security secretary after disclosing that he had not paid all required taxes for a nanny, did not fill out a background form when he was appointed police commissioner in 2000, city officials said.",0
91, ATHENS (Reuters) - All-round champion Paul Hamm's Olympic  fortunes took a downward turn on Sunday when he was outdone by  the mastery of Kyle Shewfelt and Teng Haibin in the men's  apparatus finals.,1
92,Intel on Tuesday released third-quarter financial results showing that it continues to struggle to sell a substantial stockpile of computer chips as demand for personal computers remains slow.,2
93,"A sharp rise in carbon dioxide in the atmosphere raises fears global warming is speeding up, reports say.",0
94,"AP - Three U.S. Army soldiers were killed in separate incidents in northern Iraq on Wednesday, officials said.",0
95,"Like a latter-day Ellis Island, the National Tennis Center bristled with overseas energy, overseas hopes, overseas dreams.",1
96,Republican Senator Norm Coleman calls on UN head Kofi Annan to quit over the oil-for-food scandal.,0
97,Computerworld columnist Yuval Kossovsky touts the new iMac G5 to his wife and she makes the switch from her PC -- with the help of a few migration tools.,3
98,"The Pac-10 midseason report this year will suffer from a case of premature analyzation, considering that at the end of this coming weekend, only one team will remain unblemished and alone atop the conference.",1
99,Paul Hamm of the United States won the gold medal Wednesday in all-around gymnastics.,1
100,"Chancellor Gordon Brown is in danger of breaking his economic ""golden rule"" because forecasts for tax revenues are too optimistic, a report says.",2
101,"LOS ANGELES (CBS.MW) -- Oracle shares jumped Wednesday morning after the corporate software giant #39;s quarterly results narrowly outpaced expectations overnight, with strength at its core database operations offsetting declines in its applications business.",2
102,"Reuters - Stock of Google Inc.  powered\to new highs on Friday, buoyed by the web search leader's new\products and growth prospects, which complement its recent\strong financial results, analysts said.",3
103,"Kansas City, MO (Sports Network) - St. Louis Rams starting cornerback Travis Fisher suffered a broken arm during the first half of the team #39;s 24-7 preseason loss to the Kansas City Chiefs Monday night.",1
104,"JERUSALEM - Israeli Finance Minister Benjamin Netanyahu gave possibly crucial backing on Tuesday for Prime Minister Ariel Sharons plan to invite the opposition Labour Party into a unity government, a Sharon aide said.",0
105,"AP - Enrique Salinas, the youngest brother of former Mexican president Carlos Salinas de Gortari, was found dead in a car on the outskirts of Mexico City on Monday, with a plastic bag tied over his head in an apparent murder, officials said.",0
106,AP - Ousted Alabama Supreme Court Chief Justice Roy Moore said Friday he is considering running for governor in 2006.,0
107,"AP - A steady downpour didn't qualify as bad weather to Suzann Pettersen. Playing through heavy showers was fine to Pettersen, who took a one-stroke lead Friday at the Wendy's Championship for Children. More than an inch of rain pounded Tartan Fields Golf Club, suspending play late in the afternoon  #151; as was the case in the first round.",1
108,The Mild Seven Renault F1 Team and Jarno Trulli today announced that the Italian driver has been released with immediate effect.,1
109,"Sony #39;s forthcoming PlayStation Portable handheld will fail to attract newcomers to gaming, according to Nintendo president Satoru Iwata, whose comments come as shipment targets for the DS are raised once again.",3
110,"The Uruguayan government has decided to ban the sales of medicine containing rofecoxib, which is used against arthritis and severe pain, local media reported Saturday.",2
111,Antawn Jamison leads a balanced scoring attack as the Wizards get off to a 2-0 start after spoiling the Charlotte Bobcats' NBA debut Thursday night with a 103-96 win.,1
112,"LAGOS, Nigeria -- Protesters besieged oil platforms run by Royal Dutch/Shell Group Cos. and ChevronTexaco Corp. for a second day yesterday, shutting down 90,000 barrels a day in oil production, company officials said.",0
113,"NASCAR star Dale Earnhardt Jr. was fined and knocked out of first place today for a slip of the tongue. Earnhardt was docked 25 points and fined \$10,000 by NASCAR for cursing during a TV interview after his victory at Talladega Superspeedway on Sunday.",1
114,"It could have been the Candlestick crowds crooning  quot;Deuuuce quot; instead of those in New Orleans. The 49ers were enamored with Saints running back Deuce McAllister before the 2001 draft, when McAllister went to the Saints with the 23rd overall pick.",1
115,"The comments, from IBM Ireland pSeries  amp; Storage products manager Michael Coyle, came after the global launch of the firm #39;s new TotalStorage DS6000 and DS8000 series this week.",3
116,"AFP - Jaguar car production is to end at a plant in Coventry, Warwickshire, with the loss of more than 1,000 jobs because of weak demand for the luxury brand, US parent company Ford announced.",0
117,"A total lunar eclipse expected to create views of a blood-red moon will be visible tonight throughout most of North America, weather permitting.",3
118,OIL giant Shell swept aside nearly 100 years of history yesterday when it unveiled plans to merge its UK and Dutch parent companies.,2
119,AP - Researchers at the Alaska Sealife Center are poking into the private lives of Steller's eiders  #151; a rare sea duck that is disappearing from its nesting grounds in Alaska.,3
120,Bryan Robson has done the managerial equivalent of swimming the channel in landing a Premiership job after three years out of the top flight.,1
121,Chad Pennington led the New York Jets on a second-half comeback. Rookie Jonathan Vilma sealed it. The Jets overcame a 14-3 halftime deficit and Vilma intercepted Tim Rattay #39;s poorly thrown pass with 1:44 to ,1
122,"New report from Congress reveals little on extent of shipping IT and other services work abroad, as debate on the trend heats up.",3
123,"ATHENS, Greece -- A dark cloud over the Games lifted yesterday as Greece #39;s top two sprinters pulled out rather than face expulsion over a missed drug test. ",1
124,SPACE.com - Black holes are complex beasts. Among their mysterious traits are intense jets of matter that sometimes shoot out from the rotational poles at nearly light-speed.,3
125,The United States win the doubles rubber to cut Spain's Davis Cup final lead to 2-1.,0
126,"PERTH (Dow Jones)--Trying to derail Xstrata Plc. #39;s (XTA.LN) hostile takeover bid, WMC Resources Ltd. (WMR.AU) Thursday said it will return up to A\$1 billion to shareholders ",2
127,"Apple, in cooperation with the US Consumer Product Safety Commission, said it would voluntarily recall about 28,000 rechargeable batteries used in its 15-inch PowerBook G4 notebooks. ",3
128,BANGKOK Prime Minister Thaksin Shinawatra headed to a Muslim-dominated part of southern Thailand on Sunday after promising to act aggressively against militants and illegal weapons they have used in deadly attacks there.,0
129,"AFP - Bosnians were reluctant voters in their third post-war local elections this weekend, with the ruling Croat, Muslim and Serb nationalists benefiting from the lower turnout, early results indicated.",0
130, WASHINGTON (Reuters) - The Bush administration said it  would work with Congress to avoid U.S. exports being hit with  potentially hundreds of millions of dollars in new sanctions  approved on Tuesday by the World Trade Organization.,2
131,The al-Jazeera television channel reports that militants in Iraq have killed their Italian hostage. The Arabic broadcaster says it received a videotape from the militant group calling itself the Islamic Army ,0
132,An inquest rules that the death of an airman who died in 1953 after a secret nerve gas experiment was unlawful.,0
133,"In an investigation that led from online forums to a passport-forging facility in Bulgaria, law enforcement officials arrested in the last 48 hours suspects from eight states and six foreign countries on charges of identity theft, computer fraud, credit ",2
134,"InfoWorld - As the enterprise increasingly looks for vertical solutions from its CRM vendors, Kana Software with an on-premise solution and Entellium with a hosted solution, will both announce this week industry-specific best practice applications for customer service and sales force automation.",3
135,"Across the Americas, Native Americans are preparing for Tuesday's opening powwow in Washington, D.C. #151;the largest such gathering in recent times.",3
136,"Scientists pinpoint a protein they believe holds the key to hearing, and maybe new treatments for deafness.",3
137,The US recording industry is taking legal action against 750 computer users believed to be distributing music illegally over the internet.,3
138,"AFP - The United States and Europe's three main states reached agreement after days of talks on a UN draft resolution on Iran's alleged nuclear weapons program, a US official said.",0
139,Bank customers may soon be able to check their balances on mobile phone screens in an initiative from the Link cash machine network and Morse.,2
140,"It #39;s been a few decades since anyone recorded my mile splits as I bounded over hill and dale, immersed in running #39;s intoxicating rhythm.",3
141, BEIJING (Reuters) - Secretary of State Colin Powell said  Sunday there was still time to resolve a nuclear crisis with  North Korea through six-party talks despite Pyongyang's refusal  to resume the negotiations.,0
142,"Southwest Airlines has offered more than \$100 million for part of ATA #39;s operations at Chicago #39;s Midway Airport. If successful, it could torpedo AirTran Airway #39;s efforts to create a hub there.",2
143,"AccountingWEB.com - November 05, 2004 - A government investigation into accounting practices at America Online has prompted Time Warner to set aside \$500 million to cover the costs of potential fines.",2
144,"Th Redskins' defense receives good news on Cornelius Griffin's MRI exam of a hip injury, and the defensive tackle might play Sunday against the Eagles.",1
145,AP - Microsoft Corp.'s chief executive believes it's naive to suggest the software giant can eliminate all security vulnerabilities in its various products even though engineers are trying hard to do so.,3
146,"The High Street perked up in September,   but consumer confidence is falling as a result of higher interest rates and concerns over the housing market,  figures reveal.",2
147,The European Union on Wednesday cleared Banco Santander Central Hispano SA #39;s acquisition of British bank Abbey National PLC for about \$14.,2
148,"Despite peace deals, Sudan #39;s Darfur region is lapsing into chaos, with rebels attacking police and the government ignoring brutal tribesmen they once armed, according to a United Nations report released on Monday.",0
149,"MARK Thatcher #39;s wife, Diane, is planning to begin a new life in the US and leave her husband to face the coup scandal alone in South Africa.",0
150," NEW YORK (Reuters) - Newmont Mining Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=NEM.N target=/stocks/quickinfo/fullquote""&gt;NEM.N&lt;/A&gt;, the  world's largest gold miner, on Wednesday said third-quarter  profit rose 12.5 percent on higher gold prices and strong base  metal sales.",2
151,Manchester United boss Alex Ferguson insists he has no regrets about fielding a second-string side against Fenerbahce last night. Sanli Tuncays second-half hat-trick consigned the Red Devils to a 3-0 defeat ,1
152,"Big Blue adds ""innovaton center"" to its China Research Lab to develop technology catering to small and midsize businesses.",3
153,The people behind New York City's bid for the 2012 Summer Games think they have a realistic chance to beat the four European capitals with which they are competing.,0
154,CHELSEA manager Jose Mourinho said he was  quot;more than unhappy quot; after Arsenal striker Thierry Henry #39;s second goal was allowed to stand at Highbury today.,1
155,"US NAVAL BASE GUANTANAMO BAY, Cuba -- Four suspected Al Qaeda fighters will be formally charged with war crimes this week as the US military opens the first legal hearings for foreign prisoners captured during the war in Afghanistan and held at a remote US Navy base in Cuba.",0
156,Afghan forces in the southern city of Kandahar say they have foiled a truck bomb that could  have killed hundreds.,0
157,"AP - The judge presiding over a massive pension suit against IBM, which could cost the company more than  #36;6.5 billion, agreed to a short delay while settlement talks continue.",3
158,"The lifespan of a poorly protected PC connected to the Internet is a mere four minutes, research released Tuesday claimed. After that, it #39;s owned by a hacker.",3
159,Shares in European online travel retailer lastminute.com PLC sank by 13 percent Thursday after the company reported losses well below its own predictions and market expectations.,2
160,Reuters - Eli Lilly and Co.  on Thursday\said its third-quarter earnings rose as growing demand for its\medicines offset higher spending to market recently approved\treatments.,2
161,"ATHENS, Greece - Hicham El Guerrouj became the first man in 80 years to sweep the 1,500 and 5,000 meters at an Olympics, holding up two fingers in triumph after winning the 5,000 Saturday night in an all-out sprint down the final straightaway.",1
162,"The intracity football debate between Los Angeles #39; most distinguished schools of higher learning, USC and UCLA, started off as expected Saturday afternoon, as the Trojans #39; extraordinary sophomore ",1
163,"When Lawrence Dallaglio walked into the late-night bar of the Hilton Hotel in Brisbane a couple of hours after England #39;s 36-point defeat at the hands of the Wallabies last June and pronounced himself  quot;suicidal quot;, no one among his handful of listeners felt ",1
164,"AP - With all the grumbling over Windows and its many shortcomings, why would anyone want Microsoft's computer operating system to run their cell phone?",3
165,"Workers' productivity increased at an annual rate of 2.5 percent in the spring, the smallest gain since late 2002, reflecting the economy's slowdown.",2
166,Google have hosted a customized Internet Explorer search page for many years now specially designed to act as sidebar search. And with the launch of the first final release of the very popular Mozilla Firefox ,3
167,The scandal-beset company will also lay off about 10 percent of its work force.,3
168,"Two storms have revived, with Hurricane Ivan lashing Louisiana again and Hurricane Jeanne appearing to head for, yes, Florida.",3
169,"WASHINGTON -- The US Federal Trade Commission is seeking the first fines for breaches of a rule banning calls to people whose numbers are on a  quot;do-not-call quot; registry, saying a Las Vegas telemarketer made more than 300,000 unwelcome pitches.",2
170,"nearly 8 percent of its 2003 operating expenses -- even if it terminates its pension plans, which the government estimates are underfunded by \$8.",2
171,Oracle suffered a legal setback Wednesday when a federal appeals court reviewing a shareholder lawsuit reversed a lower court #39;s ruling that had found in the company #39;s favor.,2
172,"A few years ago, when MP3 players were establishing themselves as the hot cool thing, the next step seemed clear: What if you could take along not only music but movies, television programs, home video and still pictures in a high-tech box svelte enough ",3
173,Russia #39;s embattled Yukos oil giant raised the stakes in its bitter standoff with the Kremlin as the company slashed supplies to China in a move analysts said was designed to cause maximum embarrassment in Moscow.,2
174,"Tom Ridge set an all-age record of 1 minute 50.2 seconds in winning the \$530,000 World Trotting Derby at the DuQuoin (Ill.) State Fair yesterday.",1
175,"Bryan Randall, who led a team picked sixth in the preseason to the title,is named The Associated Press ACC player of the year.",1
176,"Reuters - Oil prices deepened this week's 8\percent rout on Friday, edging nearer  #36;50 a barrel as China's\surprise interest rate rise stirred concerns over demand growth\from the world's second largest energy user.",2
177,"The chief executive of McDonald #39;s Corp. (MCD.N: Quote, Profile, Research) is recuperating after another surgery, the world #39;s largest fast-food company said on Saturday.",2
178,"Denmark #39;s biggest financial group, Danske Bank, has agreed to purchase Northern Bank in Northern Ireland and National Irish Bank in the Republic of Ireland from National Australia Bank for 967 million.",2
179,"A Rensselaer Polytechnic Institute computer science professor hopes to develop mathematical models that can uncover structure within the scattershot traffic of online public forums.  &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Associated Press&lt;/B&gt;&lt;/FONT&gt;",3
180,"A consortium of nonprofits aim to restore sections of the Inca Road, the 500-year-old route that linked the Inca Empire from present-day Colombia to central Chile.",3
181,German rowers repeated their Olympic glory in Athens with two gold medals in women #39;s quadruple sculls and women #39;s single sculls.,0
182,"AP - Jamaal Tinsley scored 17 of his 22 points in the second half to lead the Indiana Pacers to an 89-86 victory over the Toronto Raptors, who traded All Star Vince Carter to New Jersey earlier Friday.",1
183,"Reuters - Online futures traders raised their\bets on Democratic presidential candidate Sen. John Kerry on\Friday after the first debate with President Bush, although the\overall odds still favored the incumbent.",3
184,"NEW DELHI: The government will set up a regulatory framework for infrastructure to create the necessary environment to attract \$150 billion foreign direct investment in the sector for achieving seven to eight per cent growth, Prime Minister Manmohan Singh ",2
185,"Philip Morris, a unit of Altria Group Inc. (MO.N: Quote, Profile, Research) , told wholesalers on Thursday it would reduce its  quot;off-invoice quot; discounts to \$5.50 a carton from \$6.50, a move that ",2
186,"KINGSTON, Jamaica - Hurricane Ivan lashed Jamaica with giant waves and winds nearing 155 mph early Saturday, but as panicked residents braced for a direct hit, the storm unexpectedly wobbled and lurched west, possibly sparing the island the worst of its fury.    The change in course could be good news for hurricane-weary Florida, since Ivan may now head off into the Gulf of Mexico...",0
