,texts,labels
23,"MOSCOW - President Vladimir Putin said Friday that Russia was preparing to take preventive action against terrorists, the Interfax news agency reported.    Putin said that ""now in Russia, we are seriously preparing to act preventively against terrorists,"" Interfax reported...",0
24,"t first glance, it might seem like the simple extension of a standard tool in the fight against the bad guys. But in fact, wiretapping Internet phones to monitor criminals and terrorists is costly ",3
25," LUXEMBOURG (Reuters) - A European Union judge will weigh on  Friday whether Microsoft should be forced to remove its music  and video player from its Windows operating software, in a  second day of hearings at the EU's second-highest court.",3
26,"Jack Lee, the North-East pensioner who was agonisingly denied a near 1million jackpot on the Scoop6 at the end of last month, died last night at the age of 75.",1
27," WASHINGTON (Reuters) - The U.S. trade deficit narrowed more  than expected in September as a rise in exports to  unprecedented levels offset the impact of record-high prices  for imported oil, a government report showed on Wednesday.",2
28,"Jim Leyland, who led the Marlins to the World Series title in 1997, will interview for the Phillies managerial vacancy. Leyland, a scout for the Cardinals the past four seasons ",1
29,Microsoft this week announced that it #39;s expanding its Windows XP Starter Edition into Russia. The company said that it hopes to get the software to PC OEMs in Russia and the Commonwealth of Independent States by early 2005.,3
30,"Tomorrow night President Bush and John Kerry take the stage together for the final time before Nov. 2. This debate will focus on domestic issues, so it was supposed to be the one Mr.",2
31,A US judge has ruled that Advanced Micro Devices (AMD) is not entitled to trial documents that the company said might help it prove its European Commission antitrust complaint against Intel.,3
32,"Slumping stock broker Charles Schwab Corp. is cutting its online prices for all customers, hoping to lure back bargain-minded investors alienated by the higher fees the company has imposed in recent years.",2
33,"We know what piracy debaters Lars Ulrich and Chuck D think of file sharing. But aside from the few who speak out publicly, musical artists typically sit out the rhetorical crossfire over copyright protection.",3
34,WASHINGTON The two founders of the Pennsylvania-based Pilgrim-Baxter mutual fund family have agreed settle regulators #39; charges of improper trading.,2
35,"Shares of Syneron Medical Ltd., a maker of cosmetic medical devices, plunged 20 percent Tuesday morning following regulators #39; rejection of its application for a cellulite-smoothing device.",2
36,"AP - Banking giant Wells Fargo  amp; Co. has taken control of embattled mutual fund provider Strong Financial Corp., completing an acquisition negotiated more than seven months ago under the cloud of a financial scandal.",2
37,Where did the Bonneville Salt Flats of western Utah come from? Did the same thing create salt flats elsewhere?,3
38,"In many professional leagues recently, the defending champion has had a smooth start to the season. Mexico proved to be an exception, though, as UNAM Pumas fell to Tecos, 1-0, losing two players and coach Hugo Sanchez to ejections Sunday.",1
39,"A submarine that intruded into waters off Japan earlier this week has been identified as Chinese, Japan #39;s top government spokesman Hiroyuki Hosoda said on Friday, adding that Tokyo would protest to Beijing.",0
40,The health insurer expects the proposed \$408M acquisition to boost its offerings of Medicare plans. CHICAGO (Reuters) - Health insurer Humana Inc.,2
41,"The Dolphins have released free safety Antuan Edwards, who has started eight of nine games this season. Agent Brian Levy said Wednesday the Dolphins told him the franchise wanted to take a look at younger players at the position.",1
42,"In a boardroom struggle that is as much about legacy concerns as about control, media titans Rupert Murdoch and John Malone are sparring over the prized assets of News Corp.",2
43,"World soccer #39;s governing body has handed out suspensions to Belgian internationals Bart Goor and Erik Deflandre after they were sent off in a recent World Cup qualifier against Spain, FIFA said Wednesday.",1
44,"MacCentral - Apple has improved the services offered to subscribers of .Mac. Previously, the amount of storage for a basic .Mac account was 100MB, with a maximum of 15MB for e-mail. The service's base online storage has been increased to 250MB, e-mail service has been enhanced, and the cost of upgrading has been reduced. .Mac's basic subscription price remains the same -- US #36;99.95 per year.",3
45,"com. While recording and film industry interests have hammered away at the sharing of music and videos files over the Internet, the creative artists who actually produce the content welcome the Internet ",3
46,"TAMPA - Just a few weeks ago, the Utah Utes were building an impassioned case for why they belonged in a Bowl Championship Series game.",1
47,"By Malcolm Moore, Economics Correspondent (Filed: 10/09/2004). The Bank of England held interest rates at 4.75pc yesterday after a series of recent surveys showed the housing market was slowing down.",2
48,"Eurostar services to London will stop at St Pancras, instead of Waterloo, when the Channel Tunnel Rail Link is finished in 2007, it has been revealed.",2
49,There are some signs of progress in resolving the Nigerian conflict that is riling global oil markets. The leader of militia fighters threatening to widen a battle for control of Nigeria #39;s oil-rich south has ,0
50,"American Airlines is offering passengers a dozen on-demand movies, on-demand audio channels, video games, audio books, and newspapers.",3
51, TOKYO (Reuters) - Japan's Nikkei average fell around 0.8  percent by mid-afternoon on Tuesday after industrial output  data sapped investor appetite for tech issues and profit-taking  hit recent gainers such as Nippon Steel Corp.,2
52,"Jim Bowden, general manager of the franchise scheduled to move to Washington next spring, said he is exploring trades for players.",1
53,"Washington, Nov. 20 (AFP): After a bitter 18-month battle, Oracle has succeeded in taking control of more than 60 per cent of outstanding shares of rival business software group PeopleSoft, but obstacles to the hostile takeover remain.",2
54,"PORT HARCOURT, 28 Sep 2004 (IRIN) - An ethnic militia group in Nigeria #39;s southeastern oil region vowed on Tuesday to attack oil workers there unless their companies shut down operations within three days.",0
55,"AP - Developed countries should do more for Africa, including opening their markets to trade, the head of the International Monetary Fund said Tuesday.",0
56,"SAN FRANCISCO -- It #39;s a sign of the times for Forty-Niner fans, who are getting used to major changes. The team confirmed Monday that naming rights to the stadium have been sold to Monster Cable Products Inc ",1
57,"The Red Sox right-hander has recorded automated phone calls that will be made in New Hampshire, Maine, and Pennsylvania through Tuesday, Election Day.",1
58,"Reuters - The United Arab Emirates urged fellow\Arabs Monday to implement radical political and economic\reform, saying history and their people would not forgive them\if they failed to do so.",0
59,"As Saturn grows closer through the eyes of the Cassini spacecraft, which is hurtling toward a rendezvous with the ringed world on June 30 (July 1, Universal Time), both Cassini and the Earth-orbiting Hubble Space Telescope snapped spectacular pictures of ",3
60,Washington - Re-elected United States President George W Bush will waste little time in trying to get nuclear-armed North Korea back to the negotiating table and dealing with the fallout of Iraq and the war on terrorism on Muslim communities in Asia as he ,0
61,"Gunmen seize a secondary school in the southern Russian region of North Ossetia, taking several pupils hostage.",0
62,The Nets reported deal for Vince Carter very much surprises me given New Jersey #39;s cost-slashing moves in the offseason that saw the exits of Kenyon Martin and Kerry Kittles.,1
63, BEIJING (Reuters) - Secretary of State Colin Powell urged  China on Monday to exert its influence over North Korea to  resume stalled talks on scrapping its nuclear weapons programs  and pressed Beijing to accept a Taiwan offer of talks.,0
64,"CNH Global NV workers in Racine and three other cities went on strike Wednesday, six months after rejecting the company #39;s final contract offer.",2
65,"AFP - The United States congratulated Cambodia's new king, Norodom Sihamoni, following his coronation but said it was unsure he could restore political stability in the Southeast Asian nation.",0
66,"Canadian former world champion Jacques Villeneuve will test for Renault at Silverstone on Wednesday and Thursday, the Formula One team said.",1
67,The first analysis of a rare Roman skin cream shows that it is similar to modern equivalents and suggests that women went to the same lengths to look beautiful two thousand years ago as they do today.,3
68,Controversial Islamic cleric Abu Hamza will appear at the Old Bailey today charged with a string of offences including soliciting murder.,0
69,Michael Vaughan is hoping that England #39;s tour of Zimbabwe will benefit his younger players despite the controversy surrounding the series.,1
70,"Raja Ramanna, architect of India #39;s nuclear weapons program, died early Friday. He was 79. As director of the government-run research center in Bombay, Ramanna headed the team that built ",0
71,"The morning sky this weekend is sparkling. Wake up early to see Mercury, Venus, Saturn and more.",3
72,"Former Medimmune executive Eric Tsao is expected to plead guilty Friday to securities fraud, a case legal experts say is the latest in a series against high-profile defendants who allegedly try to subvert investigations. &lt;br&gt;&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;",3
73," SAN FRANCISCO (Reuters) - A computer hacker accessed names  and Social Security numbers of about 1.4 million Californians  after breaking into a University of California, Berkeley,  computer system in perhaps the worst attack of its kind ever  suffered by the school, officials said on Tuesday.",3
74, WASHINGTON (Reuters) - U.S. Senate and House of  Representatives negotiators agreed on Wednesday on a huge  corporate tax bill that will repeal export subsidies that  violate global trade rules and give manufacturers a new tax  break.,2
75,NASA will launch a craft tomorrow afternoon for a computer-controlled rendezvous in space - the first time the agency will attempt such a feat without a pilot at the controls.,3
76,"AP - Russia is seeking to slow the brain-drain of computer specialists and increase software production, a top government official said Friday, in an effort that some hope will help diversify the country's oil-dependent economy.",3
77,"On the eve of the arrival of Equatorial Guinea investigators in South Africa, authorities in Malabo have said that the trial of eight South African alleged mercenaries could drag on for a considerable time.",0
78,PRIME Minister John Howard has backed curfews and alcohol bans for Aboriginal communities where leaders want to put them in place.,0
79,"WASHINGTON - The US House of Representatives will vote as soon as next week on a measure to crack down on deceptive spyware that hides in users computers and secretly monitors their activities, key lawmakers said on Wednesday.",3
80,"Santander, the Spanish bank bidding 8bn for the UK's Abbey, is selling half its stake in rival Royal Bank of Scotland.",2
81,"Threatened by the Taliban, surrounded by security forces and watched by the second tier of the Bush administration, Hamid Karzai is due to be inaugurated as Afghanistan #39;s first democratically elected president this morning.",0
82,"Valencia, Spain (Sports Network) - Valencia missed a chance to gain ground on La Liga leaders Barcelona on Saturday night. The struggling Valencia squad did not take advantage, as they finished in a 1-1 draw with Atletico Madrid at the Mestalla.",1
83,"Washington - The Genesis space probe, consigned to an ignominious end by a failed parachute, risks tarnishing Nasa #39;s image as the agency seeks to restart its space shuttle programme after the Columbia shuttle disaster.",3
84,"US stocks rose on investors #39; hopes for a year-end rally, while the dollar eked out gains and oil advanced again on Thursday as OPEC ministers supported supply cuts by applying official output quotas.",2
85,The Web site of identity-fraud suspects operating as the Shadowcrew has been replaced by information about alleged members' arrests.,3
86,"Nextel Communications, the nation #39;s fifth-largest wireless provider, said yesterday that its profit jumped 69 percent in the third quarter from the period last year.",2
87,"RBC, 05.11.2004, Moscow 10:01:15.Russian President Vladimir Putin has signed into law the federal bill on the ratification of the Kyoto Protocol, adopted by the State Duma of Russia on October 22, 2004 and approved by the Federation Council on October 27 ",0
88,"AP - The Warriors and Mavericks are close to completing a five-player trade that would bring forwards Eduardo Najera and Christian Laettner to Golden State and send centers Erick Dampier, Evan Eschmeyer and guard Dan Dickau to Dallas, an NBA source aware of the negotiations told The Associated Press on Tuesday.",1
89,Sudanese Foreign Minister Mustafa Osman Ismail said here on Monday that his government is open to the idea of granting some sort of autonomy to the western Darfur region where ,0
90," NEW YORK (Reuters) - MCI Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MCIP.O target=/stocks/quickinfo/fullquote""&gt;MCIP.O&lt;/A&gt; has offered to pay  states from 2 cents to 30 cents on the dollar to settle charges  it owes them as much as \$2 billion in back taxes, people  familiar with the matter said on Thursday.",2
91,"SPACE.com - Newly discovered galactic highways cut across the Milky Way at odd angles, bringing stars through the neighborhood of our solar system.",3
92,"The UN High Commissioner for Human Rights says Darfur refugees live in fear, and  that rape is widespread.",0
93,"Mylan Laboratories Inc., the largest US maker of generic drugs, cautioned investors Friday that Thursday #39;s jump in share price was likely driven by investor Carl Icahn #39;s clearance to buy a large amount of company stock and fails to reflect  quot;negative ...",2
94,TheDeal.com - The company plans to spend  #36;27 billion to buy the 44 of Telecom Italia Mobile it does not already own.,3
95,"AP - China was eliminated from qualifying for the 2006 World Cup despite a 7-0 victory Wednesday night over visiting Hong Kong, with Kuwait finishing first in the group on the fifth tiebreaker.",1
96,Hong Kong citizens famously told a survey last year they were too busy with work for relationships; now a new technology will enable them to go dating using their famous passion for mobile phones.,3
97,The backlash to anti-American comments by Ryder Cup player Paul Casey has already started - and is likely only to get worse in the coming months.,1
98,"BRIGHTON, England Top aides to British Prime Minister Tony Blair are urging his party not to let the war in Iraq derail their annual convention and election hopes.",0
99,"Shaukat Aziz, taking over as Pakistan #39;s 23rd prime minister on Saturday, is a former private banker credited with infusing new life into an almost bankrupt economy.",0
100,AP - The White House on Wednesday told 15 federal agencies to better share scientific data about the Earth among themselves and with other nations.,3
101,AFP - Democratic White House hopeful John Kerry's campaign formally alleged that a group attacking his Vietnam war record had illegal ties to US President George W. Bush's reelection bid.,0
102,Oracle today announced Oracle(r) Collaboration Suite 10g with new real-time collaboration tools and enterprise content management capabilities.,3
103,The US Air Force #39;s former No. 2 weapons buyer was sentenced to nine months in prison on Friday after telling the court she had given Boeing Co.,2
104,"A Delaware judge has thrown out the last claim against Texas Instruments Inc. (TI) filed by Qualcomm Inc. in a licensing dispute between the two companies, ending the current round of litigation, TI said in a release Wednesday.",3
105,"Dell has announced a massive recall of notebook computer power adapters, saying the components -- made by a company whose products caused a similar recall last month by IBM -- could overheat and spark fires or electrical shock.",3
106,"By Michael Lasalandra, Globe Correspondent  August 24, 2004. Brynna Mathews began having intestinal problems in her early 20s. The onset was gradual, but eventually the bloating, cramping, intestinal pain ",3
107,"com. With the American League East title hanging in the balance, the Yankees and Red Sox lock up on Saturday afternoon in the Bronx in one of the final five meetings of the season between ",1
108,A group pushing to bring minor league baseball to Charles County said Tuesday that it hopes to build a \$18 million stadium and put a team on the field in 2006.,1
109,"A TEAM of wildlife officials has left for a global meeting in Bangkok, Thailand to oppose the lifting of the ban imposed on ivory trade.",3
110,"Abuja, Nigeria - Sudan and Darfur rebels signed accords on Tuesday to end hostilities and guarantee aid groups #39; access to 1.6 million civilians uprooted by conflict in the troubled western Sudan region of Darfur.",0
111, KABUL (Reuters) - Afghan President Hamid Karzai said on  Sunday that some of the candidates who had called for a boycott  of a historic presidential election had changed their mind and  were willing to accept its legitimacy.,0
112,DHAKA: Nearly two million Muslims from around the world ended their three-day annual prayer for global peace and harmony outside the Bangladesh capital Dhaka on Sunday.,0
113,"A Quebec glass manufacturer will have to replace about 100 4-by-8-foot windows at the new Boston Convention  amp; Exhibition Center in South Boston over the next several months, officials said yesterday.",2
114,"AP - Adrian Beltre hit a grand slam to become the first player to reach 40 home runs this season, leading the Los Angeles Dodgers to a 10-2 victory over the Montreal Expos on Tuesday night. His previous career high for homers was 23, set last season.",1
115,"Melodeo CEO Bill Valenti said:  quot;There #39;s no denying the market potential for music delivered to mobile phones. In 2003, there were approximately 526 million wireless phones sold.",3
116, ATHENS (Reuters) - The United States kept itself firmly on  course for a third straight Olympic softball gold medal when it  thrashed Australia 10-0 Sunday.,1
117,"Iranian Foreign Minister Kamal Kharazi on Wednesday conditioned negotiations with the United States on a change in Washington #39;s attitude toward Tehran, the official IRNA news agency reported.",0
118,An Arab television station says hostage Margaret Hassan is facing a new threat -- a possible transfer to a deadly militant group. Al-Jazeera television cites a newly-released videotape from the people currently holding Hassan.,0
119,SAN FRANCISCO - Online auctioneer eBay will stop supporting Microsoft's .Net Passport identification system by the end of January.,3
120," NEW YORK (Reuters) - U.S. stocks slid lower in ultra-light  volume on Monday, as security concerns surrounding the  Republican convention in New York kept investors on the  sidelines.",2
121,"A delicate new ring and possibly two new moons have been spotted around Saturn by the US-European Cassini mission, astronomers announced Thursday.",3
122,"IT WAS a good sign that those claiming to have kidnapped two Australians in Iraq had not released the names of their alleged hostages, Prime Minister John Howard said today.",0
123,"PalmSource will ratchet up the competition among wireless OS vendors this week by announcing Cobalt 6.1, the latest version of its mobile operating system. The main emphasis of the new PalmSource OS is on wireless connectivity, putting it on a par with Microsofts Windows Mobile and Nokias Symbian mobile OSes.",3
124,IBM announced agreements with two Danish companies on outsourcing deals that together are worth more than \$1 billion over 10 years.,3
125,SIR Mark Thatcher was today waiting to find out when he will be questioned over his alleged involvement in an attempted coup in Equatorial Guinea.,0
126,"MOJAVE, Calif. - A \$20 million, private investment in manned space flight earned a \$10 million return yesterday when a stubby, white rocket captured the X Prize by soaring to the edge of space for the second time in less than a week.",3
127,South Africa #39;s main labour federation is threatening to blockade a border crossing with Zimbabwe after President Robert Mugabe #39;s Government deported a union fact-finding team accused of aiding his enemies.,0
128,"August was a dismal month for sales of new cars and trucks, with nearly every major automaker reporting a decline compared with a year ago.",2
129,"Green Bay, WI (Sports Network) - Tennessee Titans quarterback Steve McNair and Green Bay Packers signal-caller Brett Favre are expected to start Monday night #39;s game at Lambeau Field.",1
130,"AP - Brett Favre started his 200th straight regular season game Monday night, but it was Green Bay's defense that gave the Packers a 7-0 first-quarter lead over the St. Louis Rams.",1
131,"SiliconValley.com - Downloading games, ring tones and screen savers to a mobile device can be fun. But like any Internet-connected gadget, a cell phone or a handheld computer can quickly become a target for viruses, worms and other bugs that wreak havoc.",3
132,Canadian Press - VANCOUVER (CP) - A top American clinical researcher in the field of drug addiction warned Tuesday that decriminalizing marijuana could lead to increased abuse of the drug.,0
133,OPTUS and Vodafone yesterday formalised an alliance in which they will together spend \$1 billion on third-generation mobile phone networks.,2
134,"Matthew Pinsent is to announce his retirement, according to Sir Steven Redgrave, but is likely to follow in his footsteps by changing his mind and returning to the sport.",1
135,"ATHENS, Greece - Michael Phelps took care of qualifying for the Olympic 200-meter freestyle semifinals Sunday, and then found out he had been added to the American team for the evening's 400 freestyle relay final.    Phelps' rivals Ian Thorpe and Pieter van den Hoogenband and teammate Klete Keller were faster than the teenager in the 200 free preliminaries...",0
136,"BAGHDAD: Fighters in Baghdad #39;s Sadr City slum announced yesterday a deal to trade in their weapons for cash and to stop attacking US and Iraqi forces, raising hopes for an end to violence in the war-ravaged district.",0
137,"Iraq #39;s hostage crisis continued unabated yesterday, with one group of insurgents claiming that it had killed 11 Iraqi national guardsmen, another saying it had abducted ",0
138,"A high, almost windless spot in the central region of the Antarctic plateau is the best place on Earth to view the stars, according to the first results from a small, automated telescope.",3
139,"USATODAY.com - President Bush says U.S. forces will stay in Iraq as long as necessary but no longer. John Kerry says he wants to bring U.S. troops home but will not ""cut and run"" before the country is stable. Despite differences over how the United States went to war, either man as president would pursue a similar strategy now, their campaign statements show.",0
140,"MUMBAI: Mukesh Ambani, chairman of the \$11.5-bn oil-to-fabrics conglomerate Reliance Industries, has finally broken his silence over the media speculation surrounding reported differences between him and his younger brother, Anil Ambani, the companys ",2
141,"After years of self-doubt and housecleaning in the wake of Enron, corporate America has gotten a bit of swagger back in its step.",2
142,"Wall Street futures crept higher on Wednesday, as investors looked to build on the previous sessions fresh highs and attention turned to the \$35bn merger between telecommunications ",2
143,New Zealand names were absent from the list of five nominees for the International Rugby Board #39;s player of the year announced on Wednesday.,1
144,Beleaguered server firm is working on a series of higher-performance processors it hopes will get profits back on track.,3
145,Yelena Isinbayeva of Russia took the gold and broke the world record on Tuesday but the question on many minds was: how long was her pole?,1
146,"SRINAGAR: The head of held Kashmir #39;s main opposition party, Omar Abdullah, survived an assassination bid Sunday for the second time in a month when rebels exploded a bomb a few steps away from him, police said.",0
147,The Russian revolution in women #39;s tennis appears to be expanding further after Alina Jidkova saw off former world number one Serena Williams in the second round of the Generali Ladies Linz in Austria.,1
148,"The result cheered the beef industry, which had braced itself to hear that a second case of mad cow disease had been discovered in the U.S.",2
149,"The last time Eli Manning made a debut as a starting quarterback, his coach, David Cutcliffe of Ole Miss, had goose bumps.",1
150,"Todd Walker homered and drove in four runs, Carlos Zambrano won his fourth straight decision and the Chicago Cubs extended their lead in the NL wild-card race with a 12-5 victory over the Cincinnati Reds on Monday night.",1
151,SYDNEY (Dow Jones)--Higher product prices and strong US building activity helped Australia #39;s Rinker Group Ltd. (RIN.AU) offset rising costs and Florida hurricanes to ,2
152,Hello! magazine is to appeal against damages awarded to its rival OK! over Catherine Zeta Jones' wedding photos.,0
153,"A strike at a General Motors plant in Germany began to squeeze the company #39;s European production Tuesday as a lack of parts halted two other factories, while thousands of ",2
154,"MOJAVE, California -- SpaceShipOne made history Monday and triumphed in the international Ansari X Prize race to launch the first privately built spacecraft.",3
155,"PC World - First TVs, new printers, long-lasting inks, and projectors are targeted\ at living room and office.",3
156,"Week Four threw up some surprising results over the weekend as current high-flyers had their wings clipped and new faces staked their claims in a title race that, although barely a month old, is already wide open.",1
157,AP - The Bank of Ireland reported a 7.8 percent rise in first half profit Thursday but also revealed a significant rise in withdrawals at its asset management unit.,0
158,"Rumours of a boardroom split at BT Group were given further impetus on Thursday with the announcement that Pierre Danon, the outspoken chief executive of BT Retail, the groups consumer-facing ",2
159,"The head of UAL Corp. #39;s United Airlines on Thursday said the airline #39;s restructuring plan would lead to a significant number of job losses, but it was not yet clear how many.",2
160,"\\""WASHINGTON (AP) -- Documents that should have been written to explain gaps in\President Bush's Texas Air National Guard service are missing from the military\records released about his service in 1972 and 1973, according to regulations\and outside experts.""\\""For example, Air National Guard regulations at the time required commanders to\write an investigative report for the Air Force when Bush missed his annual\medical exam in 1972. The regulations also required commanders to confirm in\writing that Bush received counseling after missing five months of drills""\\",3
161,"Microsoft Expands MSN Music Store Download Service\\Microsoft expanded its MSN Music Store to eight new countries yesterday, crossing the border into major European countries that iTunes staked its claim in during its U2 fueled EU push in October. With this expansion the MSN Music Store is now accessible in 17 ...",3
162,"Genzyme Corp. chief executive Henri A. Termeer's salary of \$1.2 million last year was the highest of any in the biotechnology industry, according to a survey released yesterday.",2
163,"Seattle SuperSonics, who lost their opener by 30 points to the Clippers, took a second straight victory at home Sunday night after downing the San Antonio Spurs 113-94.",1
164,Three Lebanese nationals who worked for a food company in Baghdad were shot dead in one of the victim #39;s homes on Friday and a fourth person ,0
165,"SILVER FOR SA: Pieter van den Hoogenband of the Netherlands, centre, the gold medallist, with South Africa #39;s Roland Schoeman, silver, left, and Australia #39;s Ian Thorpe, who took the bronze, during the medal ceremony for the 100-metre freestyle at the ...",1
166,"Don't take the headlines too seriously, because they're long on facts, short on truth, and they just don't matter.",2
167,"By Randy Dotinga, HealthDay Reporter    HealthDayNews -- Do sprawling communities translate into expanding waistlines? Absolutely, according to a new study that adds to a growing body of evidence that suburban living makes people fat.    A Boston University researcher found that people who live in spread-out communities are heavier than their city-bound counterparts...",3
168,"By going Dutch, the geeks of the search engine taught the bankers a lesson in finance, writes John Naughton. If you were seeking a case study in schadenfreude, then last week #39;s coverage of the Google flotation ",3
169,"By Steven Reinberg, HealthDay Reporter    HealthDayNews -- Morphine, a potent painkiller typically derived from the opium poppy plant, appears to be made by the human body as well.    Small amounts of morphine have been found in animal tissue before, but researchers had assumed these traces came from environmental contamination, such as a diet...",3
170,"Georgian Defense Minister Georgi Baramidze said in Tbilsi that a Russian aircraft crossed into the Georgian region of Shatili on 19 September, near the border with Chechnya.",3
171,"DALLAS - What do you get for that special someone who has just about everything? How about a personal zeppelin? The 12-seater could be yours for a mere \$10 million from the 2004 Neiman Marcus Christmas Book.    Other gifts in the book include a \$1.7 million winged submarine, jeweled Mr...",0
172,"When Andre Miller led the NBA with 10.9 assists a game in 2001-02, he had the first stamp of success required to enter the league #39;s pantheon of premier point guards.",1
173,Scientists develop an electronic device to test for serious head injuries.,0
174,"Sony Corp #39;s music unit is abandoning its CDs that use built-in technology that limits copying them, after pushing the program for two years.",3
175,"Google Acquires Satellite Mapping Firm Keyhole\\After a tip from Andy Beal, I checked out Keyhole Satellite Image mapping and local search tool and absolutely loved it. Basically, with Keyhole you get a satellite image of the world and can view streets in the major cities, political hotspots, and towns (mostly ...",3
176," WASHINGTON (Reuters) - Voting activists on Wednesday  enlisted computer experts, a trained monkey and a man on a  hunger strike in a last-minute pitch to convince officials to  improve the security of electronic vote-counting systems.",3
177,"  WASHINGTON (Reuters) - U.S. regulators filed fraud charges  on Monday against former Hollinger International Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HLR.N target=/stocks/quickinfo/fullquote""&gt;HLR.N&lt;/A&gt;  Chairman Conrad Black and his deputy, David Radler, moving to  bar the two from serving as officers of a public company.",2
178,Buying a new mouse is kind of like buying a new toothbrush: you don #39;t realize you needed a new one until you actually make the switch and realize how bad the old one really was.,3
179,Declining mortgage margins sink the tax-preparation specialist's first quarter.,2
180,"AFP - Australia is sending its domestic intelligence agents to the Middle East for specialist training as part of a major effort to boost the fight against terrorism, the head of the country's main spy agency said.",0
181,Photographic equipment manufacturer Kodak has blamed the rise of digital photography for 600 job losses and a factory closure. Kodak said declining demand for traditional camera film had forced it to close ,2
182,"It #39;s official: Cal junior Richard Midgley is now a point guard and a shooting guard. Moved to the point four games ago when Ayinde Ubaka broke his foot, Midgley never has shot the ball better.",1
183,"MacCentral - Apple Computer Inc. on Tuesday updated the company's iBook consumer notebook, adding built-in AirPort Extreme across the line. The new machines feature a 1.33GHz processor at the high-end, and a low-end model that sells for under US #36;1,000.",3
184,"Southern Co. (SO.N: Quote, Profile, Research) , which supplies power to the US Southeast, said Thursday its third-quarter earnings rose slightly, as increased energy use in the industrial ",2
185,"PCs running Linux are growing in popularity in part because they can be loaded with a pirated copy of Windows, according to a study from analyst Gartner.",3
186,"Fujitsu Limited and Cisco Systems, Inc. today announced that they have reached a fundamental agreement to enter into a strategic alliance focusing on routers and switches that will enable service providers ",3
