texts,labels
"PARIS, Oct 29 (AFP) - Two major French industrial groups, telecommunications equipment maker Sagem and aerospace engine manufacturer Snecma, announced merger plans Friday that would lead to privatisation of the latter.",2
"Sun Microsystems will create an open-source project around its Solaris 10 operating system by the end of the year, company executives said on Monday.",3
ISLAMABAD: Asian Champions Sri Lanka advanced to the final of triangular one-day international series after their match against Zimbabwe was called off due to heavy overnight rain at the Pindi Cricket Stadium here on Monday.,1
"The Bush administration yesterday accepted a petition for new quotas on Chinese-made pants, one in a series of decisions that may lead to extensive protection for US textile and apparel ",2
A tentative step was taken yesterday in the quest to finding lasting peace in the crisis torn Dafur region of Sudan when the Abuja peace talks unanimously adopted a four-point draft agenda.,0
" NEW YORK (Reuters) - Lifestyle guru Martha Stewart said on  Wednesday she wants to start serving her prison sentence for  lying about a suspicious stock sale as soon as possible, so she  can put her ""nightmare"" behind her.",2
British Energy Plc shares plunged for a second day after the UK electricity producer took action to fend off investors who are trying to get more money out of the company #39;s debt-restructuring plan.,2
"AP - A Syrian crackdown on terror groups would be the best way to halt violence in Syria and promote peace in the Middle East, the State Department said Monday after the assassination in Damascus of a leader of Hamas' bombing unit.",0
"After meeting yesterday in Toronto with approximately 75 NHL player representatives and interested teammates, NHL Players #39; Association executive director Bob Goodenow declared no cracks in the union.",1
"But Ponder, the head football coach at Rider High School in Wichita Falls, Texas, said Nelson, the star wide receiver who committed to the Irish in July, could be re-thinking his commitment in the wake of Tyrone Willingham #39;s firing.",1
"A tentative \$1 billion agreement reached by Delta Air Lines and its pilots union late Wednesday seemed to come at a painful, but practical cost.",2
"PARIS, Oct 27 (AFP) - French President Jacques Chirac said Wednesday that Turkey #39;s EU membership bid was  quot;not a done deal, quot; although he believed it was in Europe #39;s best interests, a government spokesman reported after a cabinet meeting.",0
Oil prices fell sharply yesterday in what traders described as a wave of profit-taking after futures hit a new high above \$55 a barrel and after gasoline futures fell sharply on indications of declining demand.,2
"Pedro Martinez picked the New York Mets over the Boston Red Sox, and the Chicago White Sox dealt Carlos Lee to Milwaukee for Scott Podsednik and a reliever on Monday as baseball #39;s annual winter meetings finished with many top stars still searching for ",1
"washingtonpost.com - The Bush-Cheney reelection campaign has barred people outside the United States from viewing its Web site following an electronic attack that took down the campaign's Internet address for six hours last week, according\\to computer security experts.",3
Boston -- There were no new concession speeches or genealogy reports issued yesterday by Pedro Martinez. Nothing more needed to be said.,1
"MacCentral - First introduced on Jan. 6, 2004, Microsoft Corp.'s Macintosh  Business Unit on Tuesday will announce the release of Virtual PC 7 for  the Mac. Among the many new features, company executives boast about a  10 percent to 30 percent increase in performance and support for  Apple's Power Mac G5.",3
"In a bid to relieve Western economies of the unprecedented rise in oil prices, Saudi Arabia has slashed prices for its crude sales for October.",2
"Just weeks after Merck  amp; Co. pulled its anti-inflammatory drug Vioxx from the market, rival Celebrex, marketed by Pfizer Inc. , is mounting a wide-scale, consumer-oriented ad campaign to get people to ask their doctors about the drug.",2
This would be the loss to finally confirm -fter considerable evidence had strongly suggested it  -t the best American players just can #39;t cut it worldwide on their ability to dunk anymore.,1
"MANHATTAN, Kansas Fresno State pulled off its biggest win ever against a ranked team by downing number-13 Kansas City 45-to-21 in Manhattan.",1
"US software company Microsoft has launched a beta version of its MSN Toolbar Suite, with desktop search functionality that can help users find documents, media files or e-mail messages on their PCs.",3
"NewsFactor - Intel has unveiled a new Centrino chipset that supports three \Wi-Fi standards, along with new wireless software and improved security features.",3
"Farmington - Vijay Singh, who knocked Tiger Woods off the top of the world rankings this month for the first time in over five years, eclipsed Woods #39; earnings record for a single season when he won the 84 Lumber Classic here on Sunday.",1
"ATHENS, Greece - Michael Phelps doesn't mind making history while sitting in the stands. The man who dominated the attention at the Olympic pool gave up a coveted spot on the 400-meter medley relay team to Ian Crocker...",0
Sony's first consumer HD camcorder is expected to arrive in the U.S. soon.,3
Some 300 people have shaved their heads in Indonesia #39;s Central Sulawesi province to celebrate the victory of former general Susilo Bambang Yudhoyono in this week #39;s presidential election.,0
" NEW YORK (Reuters) - U.S. stocks were little changed on  Monday, as rises in semiconductor stocks and a slip in crude  prices from another record offset caution ahead of the U.S.  presidential election and the impact of a lower dollar.",2
"Running Windows applications on a Linux desktop has become a little easier with the release of PowerPak 1.4 by Linux vendor Lycoris. Following a deal with software developer CodeWeavers in June, Window-to-Linux software has been integrated with Lycoris #39; ...",3
The Linux adversary again demands evidence from Big Blue and cites allegedly contradictory testimony.,3
The waning moments against the Angels on Monday had all the elements of another memorable night in what has proved to be an unforgettable season for the Rangers.,1
"A weak dollar should be good for U.S. exports. But it's already causing pain overseas, and in the long run it could drive up the cost of living at home",2
"Sean Harrigan, president of Calpers, California #39;s largest public pension fund, was removed on Wednesday. The California Public Employees Retirement System, or Calpers, manages \$178 billion of retirement money.",2
"Round-by-round action as Danny Williams takes on Vitali Klitschko for the WBC heavyweight title. Build-up: The atmosphere is building at the Mandalay Bay Casino, Las Vegas with a strong British presence on hand to cheer for Williams.",1
"Reuters - Whether Republican George W. Bush or\Democrat John Kerry wins the Nov. 2 election, Americans are\likely to see some familiar faces in the Cabinet of either man\as president.",0
"AP - Top-seeded Mary Pierce was knocked out of the Bell Challenge in the quarterfinal round Friday, losing 6-4, 7-6 to Russia's Alina Jidkova.",1
"After battling the budget airlines on fares, the traditional carriers are now trying to match their rivals' in-flight entertainment offerings.&lt;br&gt;&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-Keith L. Alexander&lt;/B&gt;&lt;/FONT&gt;",3
"THAT night, it seemed as if three or four parties were going on at once in Cosmo Manille. Wrong, palanggas. Actually, there were five in Makati alone, and one of them had a stream of traffic ",2
"The Yankees reserved a spot in October for the 10th year in a row, assuring themselves of no worse than a wild card.",1
There is some confusion about threats posed by the new search tool. Google says common sense is enough of a patch. By Thomas Claburn.,2
"A United Nations team has arrived in Sudan to study if genocide has occurred in the western Darfur region, where fighting has displaced more than 1.5 million people.",0
The US military attacked rebel targets in Mosul with air and ground fire yesterday after an upsurge in violence in the northern Iraqi city.,0
"Having waited 86 years for World Series glory, Bostonians found themselves swirling with elation, but also scratching their heads.",0
"New York state #39;s pension fund, the nation #39;s second largest, said on Friday it plans on tendering its 2.2 million shares of PeopleSoft Inc.",2
"BRUSSELS Outokumpu, IMI and five other companies were fined a total of E222.3 million on Friday by the European Commission for fixing the prices of copper tubing used in household plumbing.",2
"Mohamed ElBaradei, right, director general of the Vienna-based International Atomic Energy Agency, comments that he hoped Iran would suspend its nuclear enrichment and reprocessing programs as he and Australia #39;s Foreign Minister Alexander Downer brief ",0
"STUART, Fla. - Hurricane Frances lost some steam and hesitated off the Florida coast Friday, prolonging the anxiety among the millions evacuated and raising fears of a slow, ruinous drenching over the Labor Day weekend...",0
"If Michael Owen had any regrets after scoring his first Real Madrid goal it was just that the timing might have been better. After all, he said,  quot;it could have come sooner quot;.",1
"Earthquakes can be triggered by the Earths tides, UCLA scientists confirmed Oct. 21 in Science Express, the online journal of Science.",3
"KABUL, Afghanistan Early results show interim Afghan president Hamid Karzai leading in that country #39;s first free presidential election.",0
"The Intel chip, once expected to dominate the server market and even creep into PCs, takes yet another knock.",3
"In his infinite wisdom, Bernie Ecclestone has rescheduled the 2005 British Grand Prix in order that it does not clash with the Men #39;s Final at Wimbledon.",1
"Four senior executives of German chipmaker Infineon agreed to jail time and steep fines for their role in a scheme to fix prices in the memory chip market, the US Department of Justice said Thursday.",3
"He may be known as  quot;El Loco quot;, but there is none of the traditional flamboyant Latin madness about Marcelo Bielsa. Instead, the man whose controversial reign as Argentina coach came to an end ",1
"A pair of phishing vulnerabilities this week targeted at Google Inc. point to the kind of new threat Web companies can face as they expand their services into desktop applications, security experts say.",3
By edu h. lopez. Network Appliance (NetApp) has unveiled its strategy for the Philippine market as it strengthens its strategic partnership with Oracle and VERITAS.,3
"Jimmy Calderwood admitted he had been angry the referee added on four minutes with Aberdeen holding Celtic to a draw, only for the Dons to grab a late goal.",1
Arsenal cruised into the knockout stage of the Champions League with a comfortable 5-1 win over a shell-shocked Rosenborg side at Highbury.,1
"Paris - A virus that spies on keystrokes and downloads passwords and bank account details is circulating among e-mails. It masquerades as a screensaver designed by internet portal Lycos to attack spammers, a watchdog warned on Thursday.",3
"SAN JOSE, Calif. -- Cisco Systems, Inc. (Nasdaq:CSCO - News) announced today the availability of a suite of new Cisco Catalyst switching products and services specifically designed and priced for small and medium-sized businesses (SMBs).",3
"AP - Consumers became a bit more optimistic toward the end of the August but still felt more cautious on the U.S. economy than they did a month ago, according to survey by the University of Michigan.",2
"Carnival Corp. (CCL.N: Quote, Profile, Research) , the world #39;s biggest cruise group, on Friday said quarterly earnings rose sharply, citing the merger with P amp;O Princess Cruises last year.",2
Bankrupt specialty chemicals firm says it is likely to be indicted for violating environmental laws. NEW YORK (Reuters) - WR Grace  amp; Co.,2
"Cliches and elbows were out in force yesterday.  quot;I honestly didn #39;t see it, quot; said Celtic manager Martin O #39;Neill, but Caley coach John Robertson did.",1
"Anastasia Myskina kept Russia #39;s Fed Cup hopes alive by beating Moscow-born Tatiana Golovin 6-4 7-6 in the second singles of the competition final against holders France on Saturday, levelling the score at 1-1.",1
"Traders follow closing bell equity prices at the New York Stock Exchange, on election day, Tuesday, Nov. 2, 2004. The Dow ended the session down after advancing earlier in the day.",2
"By Ted S. Warren, AP. To borrow a lyric from Alicia Keys, it doesn #39;t make sense but it sure makes for a great song. Or story. The Seattle Seahawks #39; mystifying collapse against the St.",1
"AP - Sen. John Kerry trumpeted his health care program Tuesday as a recipe to bring down soaring medical costs, rejecting Republican contentions that a Democratic plan would mean a government takeover.",0
"Stocks extended their rally on Friday, led by technology shares after computer maker Dell Inc. (DELL.O: Quote, Profile, Research) shot up 8 percent on a higher quarterly profit and an optimistic forecast.",2
"In its quest for the paperless office, Adobe Systems is gearing up for sweeping changes to its Acrobat and Reader platforms. The San Jose, Calif.",3
Reuters - Democratic presidential hopeful John Kerry\has won plaudits abroad for his promises to fight global\warming but could find his hands tied at home if he wins next\month's U.S. elections.,0
"PHILADELPHIA -- Trent Strickland scored all nine of his points in the last nine minutes, and No. 6 Wake Forest made 5 of 6 free throws in the last two minutes to hold off Temple, 67-64, Monday night.",1
"General Motors Corp. and Ford Motor Co., responding to growing concerns about the safety and stability of sport utility vehicles, said Thursday ",2
" NEW YORK (Reuters) - Williams Cos. Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=WMB.N target=/stocks/quickinfo/fullquote""&gt;WMB.N&lt;/A&gt; has  scrapped efforts to sell its power business as the depressed  wholesale market has damaged prospects for selling the unit,  the natural gas company said on Thursday.",2
"ANAHEIM, Calif. The Anaheim Angels will be without second baseman Adam Kennedy as they pursue a postseason berth. Kennedy tore up his right knee in the fifth inning of last night #39;s 5-to-2 win over Seattle.",1
"(AGI) - Vatican City, Sept. 24 - In these hours, the  quot;incessant prayer of the Christian community continues quot; for the liberation of the two Italian hostages in Iraq.",0
"The US military released a senior aide to the rebellious Shiite cleric Moqtada Sadr on Thursday, and Sadr aides said momentum was growing toward an agreement to disband the ",0
AP - Henrik Stenson shot a 5-under-par 67 Saturday for a one-stroke lead over Swedish countryman Patrik Sjoland after three rounds at The Heritage.,1
"SASKEN Communications, which provides embedded software to the telecom industry, has seen its fortunes change for the better the last year.",3
 TOKYO (Reuters) - The dollar shuffled in narrow ranges  against the yen on Monday as option-related and exporter  selling capped the U.S. currency and traders awaited a key  corporate sentiment survey from the Bank of Japan.,2
An Indian security team heads for Bangladesh on Monday to assess the situation after a threat to the national cricket squad by an Islamic militant group.,1
"Iran regards the draft resolution proposed by the three major European states - Germany, Britain and France - on Tehran #39;s nuclear programs as politically motivated, the spokesman for the Iranian delegation to the meeting of the International Atomic Energy ",0
Description: Not since the 1960s has Florida been battered by a rapid succession of hurricanes. Many people have been tempted to ask whether this has anything to do with a predicted increase in severe weather events associated with global warming.,3
You #39;ve been patient. You #39;ve done what Microsoft asked you to do. You #39;re ready to download Service Pack 2 for Windows XP.,3
"SAN FRANCISCO (CBS.MW) -- Natural gas futures closed under \$7 for the first time in over seven weeks, with the first decline in US inventories since late March not influential enough to spark concerns over winter heating-fuel supplies.",2
Merck  amp; Co. profits plunged in the third quarter in the wake of the recall of its Vioxx arthritis drug and Eli Lilly  amp; Co.,2
"ThoughMicrosoft #39;s Web site appears to indicated otherwise, the company has acknowledged that, going forward, critical Internet Explorer security updates will only be available for Internet Explorer(IE) running on Windows XP.",3
AP - Cornell researchers will watch five upstate New York dairy herds to learn about the problems and challenges of converting from conventional to organic farming.,3
"THESSALONIKI, Greece - With Abby Wambach out with a suspension after receiving two yellow cards Sunday against Brazil, the US soccer team came together and grabbed the lead early in their game against Australia on Tuesday afternoon. ",1
"Reuters - Oracle Corp. on Monday again\asked PeopleSoft Inc.'s board of directors to rescind an\anti-takeover provision, as the two business software makers\prepared to return to court this week to address one of the\final barriers to the  #36;9.2-billion takeover bid.",2
Paula Radcliffe is to have another medical check-up as a row brews over the marathon's scheduling.,1
"Cazenove and JP Morgan have agreed a joint venture that effectively ends 181 years of independence for the UK stockbroker. The new venture, to be called JP Morgan Cazenove ",2
A one-day strike by tea workers in India's north-eastern state of Assam brings work in 800 tea gardens to a halt.,2
"CHARLESTON, W.Va. - A man who heckled President Bush at a political rally was fired from his job at an advertising and design company for offending a client who provided tickets to the event...",0
Edify on Tuesday is announcing that its Edify Voice Interaction Platform (EVIP) 9.0 system for deploying speech activation applications has received VoiceXML 2.0 Certification from the VoiceXML Forum.,3
"TEHRAN: Iran said on Saturday it will continue its nuclear program but provide  quot;guarantees quot; not to seek atomic weapons, and warned Washington it cant stabilise Iraq and Afghanistan without Tehrans help.",0
"WASHINGTON, Nov. 29 /PRNewswire/ -- The Expedition 10 crewmembers are back inside the International Space Station after taking a short ride this morning.",3
"AP - Maurice Greene grabbed the baton and accelerated toward the finish, blowing past a Nigerian and reeling in Britain's Mark Lewis-Francis. But even the self-proclaimed greatest sprinter of all time could not make up for a sloppy handoff earlier in the race Saturday, and his chest crossed the line just a hair behind the Brit's. The Americans were forced to settle for silver by an excruciating hundredth of a second.",1
"An unmanned Nasa jet screamed into the record books high over the Pacific Ocean by reaching speeds of almost 7000 mph, brightening hopes that humans might one day be able to fly across a continent in minutes instead of hours.",3
 WASHINGTON (Reuters) - Secretary of State Colin Powell said  on Friday that Washington had no way to force Iran to allow  U.N. inspectors unrestricted access to suspected nuclear sites  despite U.S. doubts Tehran would come clean on its own.,0
"AP - The number of grizzly bears with cubs in the Yellowstone area appears to be rebounding, which could bolster efforts to remove the animals from the endangered species list, biologists said Friday.",3
"Jailed Tanzim leader Marwan Barghouti is expected to withdraw from the race for leadership of the Palestinian Authority in the coming days, say senior Fatah sources, if his political demands are met by his election rival, former prime minister Mahmoud ",0
"If there were a contest for world #39;s worst corporate slogan,  quot;Technology/Document Management/Consulting Services quot; would definitely make the top 10.",3
"Already having set a single-season record for prizemoney, he became the game #39;s first \$10m man as the \$900,000 first prize pushed his 2004 earnings to \$10.",1
Indonesian police investigating September #39;s suicide attack on the Australian embassy in Jakarta said yesterday they had arrested four suspects but that a top bombmaker might have eluded arrest ,0
"IBM has added biometric security to its ThinkPad notebook line, claiming that the technology is now ready for prime time. IBM has added a fingerprint scanner to its T42 ThinkPad notebook chassis and will offer ",3
AP - The Supreme Court ruled Monday that a Florida death row inmate should not automatically get a new trial because his lawyer conceded the man's guilt without his consent.,0
PORTSMOUTH striker Aiyegbeni Yakubu fired a stunning hat-trick in a seven-goal thriller at Fratton Park last night. Pompey claimed their first Premiership win of the season - but they didn #39;t half make it difficult for themselves.,1
"A FIRST Enron executive to face criminal charges has been found guilty along with four former Merrill Lynch bankers in a conspiracy and fraud trial that, while a sideline to the Enron scandal, leads the way to further prosecutions.",2
"NEW YORK - Wal-Mart Stores Inc.'s disappointing sales forecast sent stocks fluctuating Monday as investors' concerns about a slowing economy eclipsed their relief over a drop in oil prices.    October contracts for a barrel of light crude were quoted at \$46.60, down 12 cents, on the New York Mercantile Exchange...",0
"Major airlines can #39;t make their low-cost competitors disappear into thin air, but they can fly away from them, which they are planning to do, to overseas routes where bargain-basement carriers don #39;t go.",2
"Shares of OSI Systems Inc. (OSIS.O: Quote, Profile, Research) tumbled more than 18 percent on Friday, the day after the security screening company reported higher fourth-quarter ",2
 KIEV (Reuters) - International mediators will step up  efforts on Wednesday to resolve Ukraine's 10-day-old crisis  over a disputed presidential election after the collapse of  talks between pro-Western and pro-Russian factions.,0
AP - Ivan Rodriguez hit his 250th career homer and Jeremy Bonderman threw a four-hitter to lead the Detroit Tigers past the Tampa Bay Devil Rays 8-0 in the opening game of a doubleheader Thursday.,1
"LONDON : Irish no-frills airline Ryanair said it had signed a 10-year engine maintenance deal with GE Engine Services, a division of US-based conglomerate General Electric.",2
" NANO, Pakistan (Reuters) - Pakistani forces are driving al  Qaeda-linked militants out of mountains near the Afghan border  but attacks such as a bomb that wounded soldiers on Saturday  could not be ruled out, a commander said.",0
"Miami Dolphins tailback Ricky Williams has no immediate plans to resume his NFL career and, at least for now, intends to stay in retirement, according to his attorney.",1
The 18th anniversary today of the start of Sir Alex Ferguson #39;s Manchester United career requires no more significant reminder that every great reign depends on perpetual ,1
"Chip giant Intel has more or less ruled out building a new manufacturing facility in Brazil, due to high labor costs. While such costs in Brazil are lower than in rich countries, they are still higher than ",2
" TEMPE, Ariz., (Sports Network) - Arizona Cardinals running  back Emmitt Smith left Sunday's 13-3 loss to the New York Jets  in the first half with a sprained ankle.",1
Parma recovered from an early deficit to beat Besiktas 3-2 on Thursday and maintain Italy #39;s hopes of winning a UEFA Cup championship it once dominated.,1
"China #39;s imports and exports in thefirst ten months this year amounted to 926.47 billion US dollars, rising 35.8 percent year-on-year, according to statistics releasedby the ",2
"Short for high definition-DVD, a generic term for the technology of recording high-definition video on a DVD. In general, HD-DVD is capable of storing between two and four times as much data as standard DVD.",3
"Needing three points to vault into fourth place ahead of the Fire, the Revs found a way to scrape into the postseason at the last gasp, as goals from Clint Dempsey in the 55th minute and Steve Ralston in the 58th minute downed Chiacgo 2-1 and sent the ",1
"The California-based group has challenged the European Commissions finding from March that Microsoft abused its dominance of PC operating systems, but its top counsel said negotiations remained the preferred course.",2
" NEW YORK (Reuters) - Rising interest rates, record oil  prices and geopolitical instability may send chills down the  spines of finance directors of debt-strapped global  corporations.",2
"Yahoo! Inc has bought Stata Labs Inc, maker of email search software, in a move apparently aimed at beefing up its Yahoo! Mail property in the face of competition from Google Inc #39;s Gmail service.",3
"DUBLIN (Dow Jones)--The Irish government will next year begin an investigation into an alleged EUR1 billion tax evasion scam in the insurance industry, the chairman of the Revenue Commissioners said Thursday.",2
"American Kim Rhode rallied in the final rounds to win the gold medal in double trap Wednesday, staking a unique claim as the first and last winner of the Olympic event.",1
"I hate to say this to Red Sox fans during their moment of transcendent bliss, but all that talk Im hearing about the sacking of the Bronx somehow exorcising the ghosts of Bambinos past is premature.",1
The three Indian truckers held hostage in Iraq for over 42 days were released yesterday and will be back in India on Friday morning.,0
Ron Zook has been fired as University of Florida football coach. Athletic director Jeremy Foley told The Gainesville Sun the news.,1
Chicago White Sox: The White Sox claimed right-hander Bobby Jenks off waivers from Anaheim on Friday and designated righty Eduardo Villacis for assignment.,1
"Peyton Manning threw for 393 yards and five first-half touchdowns and the Indianapolis Colts beat the Green Bay Packers 45-31 in a wild, high-scoring game on Sunday.",1
Canadian Press - OTTAWA (CP) - The RCMP has warned its investigators to be on the lookout for cleverly disguised messages embedded by al-Qaida in digital files police seize from terror suspects.,0
"College field hockey: Bryant at Merrimack, 3:30 p.m.; Wellesley at Wheaton, 3:30 p.m.; Keene St. at Bridgewater St., 4 p.m.; Eastern Connecticut at Framingham St., 4 p.m.; Regis at MIT, 6 p.m.; AIC at Bentley, 7 p.m.; Clark at Babson, 7 p.m.",1
Ziff Davis - Holes in KOffice and RealPlayer allow attackers to take over a user's system.,3
"The movie version of the popular children #39;s book, The Polar Express, steamed into theaters earlier this month, and kids are once again becoming entranced by the magic of the Arctic.",3
Mozilla is starting to pose a threat to Microsofts Internet Explorer after years of being the darling of a strange mix of AOL enthusiasts and techies.,3
Indian Finance Minister Palaniappan Chidambaram seeks to allay foreign investor fears over the influence of communist parties on his government.,2
"Mike Fratello is hired as coach of the Memphis Grizzlies as a replacement for Hubie Brown, who unexpectedly retired for health reasons.",1
"Seville, Spain - The United States, led by Andy Roddick, should be the favourite going into the Davis Cup final against Spain - except for a few small details.",1
"Reuters - Newspaper tycoon Conrad Black and his\top lieutenant were charged by regulators on Monday with\siphoning more than  #36;85 million from the company they ran, and\they face a move to bar them from serving as officers of a\public company.",2
AP - President Alvaro Uribe pledged Thursday not to extradite the country's top right-wing paramilitary leader to the United States to face drug trafficking charges provided he ceases all illegal activities and stays in peace talks.,0
Everyone figured he was done for the season. So Scott Williamson joined the ranks of medical marvels last night when the Red Sox activated him from the disabled list with the hope the once-dominating setup man can help them win the American League East and much more.,1
"AP - Chicago Cubs pitcher Kerry Wood, manager Dusty Baker and Houston Astros pitcher Roy Oswalt were ejected Sunday during the NL Central rivals' final game of a three-game series.",1
"LONDON: Some 2,000 people crammed into London #39;s Westminster Cathedral yesterday for a mass in memory of British aid worker Margaret Hassan, who was taken hostage and is believed slain by her abductors.",0
"SAN FRANCISCO (CBS.MW) - JP Morgan Chase is in talks with UK investment bank Cazenove to create a joint venture that would effectively combine the banks, according to a published repor Thursday.",2
" TAMPA, Fla. (Sports Network) - Tampa Bay quarterback Brian  Griese will start next Monday's game against St Louis. Chris  Simms is doubtful with a sprained left shoulder.",1
"Gordon Brown will try to focus Labour conference on the economy, after delegates force a vote on Iraq.",0
"Reuters - Michigan Republican Rep. Peter Hoekstra\was picked to head the House Intelligence Committee, replacing\Rep. Porter Goss who has been nominated to head the Central\Intelligence Agency, Speaker of the House Dennis Hastert said\on Wednesday.",0
"UN Secretary-General Kofi An nan meets with visiting Iraqi Prime Minister Iyad Allawi at UN headquarters in New York, Sep 24. (Xinhua Photo).",0
AP - Lots of people are hoping to get rich off Google Inc.'s stock now that the online search engine's IPO is finally completed. Here's a look at some of the investors that have already locked in huge profits by selling a portion of their stakes:,3
"AP - A 10-city farewell tour for longtime U.S. soccer stars Mia Hamm, Julie Foudy and Joy Fawcett will kick off Sept. 25 in Rochester.",1
"Scientists have unveiled a new hi-tech weapon to help combat the illegal trade of ivory in Africa: a map. The map describes how the genetic profiles of African elephants vary across the continent, from the ",3
"Calpers, the biggest US pension fund, on Thursday said it had tendered its 1.5 million shares of PeopleSoft Inc. (PSFT.O: Quote, Profile, Research) to Oracle Corp.",2
"Once again, the Boston College women's basketball team started strong in the second half to blow open a close game, this time using a 15-4 run after intermission to stretch a 5-point halftime edge into an easy 78-49 win over the University of New Hampshire yesterday at Conte Forum.",1
Shares in Google have fallen 6.7 as employees and early investors in the web search take advantage of the first chance to sell their holdings.,0
"KABUL, Afghanistan -- Elections heralded as the dawn of democracy in war-ravaged Afghanistan will be hijacked by warlords able to intimidate voters and candidates to entrench their own power, a leading rights group warned today.",0
The United Nations abandons efforts to ban all cloning and opts for a non-binding resolution. It's a blow to President Bush's efforts to push a ban and a victory for embryonic stem cell researchers. By Kristen Philipkoski,3
"The four hurricanes that hit Florida this season combined to beat the record set by Hurricane Andrew for insured losses in what may be the nation #39;s costliest hurricane season ever, officials said Tuesday.",2
"Civil charges may be coming in the near future for the former leader of Denver-based Qwest Communications International Inc. The Wall Street Journal reported Monday that Joseph P. Nacchio, former CEO of the ",2
" BERLIN/LONDON (Reuters) - Bankers now in talks with Russian  gas firm Gazprom about paying for its bid for the oil  production arm of YUKOS will not go against a U.S. ruling that  the sale was illegal, banking sources said on Friday.",2
European Competition Commissioner Mario Monti has given the green light to the UK8.75bn takeover bid by Spain #39;s Santander for the UK #39;s Abbey National.,2
Wales centre Gavin Henson says he is determined to show-case his talent against New Zealand on Saturday. The 22-year-old was given his Wales debut by current New Zealand coach Graham Henry against Romania in 2001.,1
